Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
13,2023-03-02,1.0,0.2046286942,0.2515703142,0.1606943888,0.0715898587,-0.2150720669,1.4998852249,299.54272,1157,300.06331128382385,296.6874737146186,22759256.0,1157,22923607.490960017,18125396.569863576,0.0,0.0,6.18747,1157,5.539114990097631,4.283292722882481,6.18747,4.283292722882481,27.663921,46.09994548601246,0.40532299832999996,2.507923892476925,2.507923892476925
13,2023-03-03,2.0,0.2090121071,0.2544904979,0.1748879693,0.0745770112,-0.2113902356,1.4924964119,298.0979,1158,299.42599536131127,296.7636468407237,23089008.0,1158,22723973.504014395,18216659.666717965,-0.0,0.0,5.977194,1158,5.509553874343491,4.311716844333807,12.164664,8.595009567216287,14.915763,31.174962367232347,0.41036392316500003,2.4528247793582993,4.9607486718352245
13,2023-03-04,3.0,0.2133765036,0.2573982968,0.189016533,0.0775507449,-0.2077237517,1.4851378531,296.519,1159,298.69246288949995,296.84053800478426,22909392.0,1159,22240237.42138798,18308407.673150413,0.0,0.0,4.9160094,1159,5.374883512602104,4.340226717686569,17.080673400000002,12.935236284902857,23.782312,21.547727797397137,0.41538297914,2.042026630052244,7.0027753018874686
13,2023-03-05,4.0,0.2177218837,0.2602937109,0.2030800799,0.0805110598,-0.2040726152,1.4778095485,298.05908,1160,298.1052402168595,296.91812414375664,22353600.0,1160,21665364.11692959,18400612.80322405,0.0,0.0,4.732707,1160,5.180513589482231,4.368813789014572,21.813380400000003,17.30405007391743,40.55477,28.1784298008954,0.42038016625499997,1.9895361554962023,8.992311457383671
13,2023-03-06,5.0,0.2220482474,0.2631767402,0.21707861,0.0834579559,-0.2004368261,1.4705114981,300.17178,1161,297.902404968811,296.9963819861436,22344646.0,1161,21195537.54818797,18493247.13256184,0.01,0.01,5.086731,1161,4.986739944838544,4.397469481229614,26.900111400000004,21.701519555147044,42.633244,27.737161595315847,0.42535548451000005,2.163668929077037,11.155980386460708
13,2023-03-07,6.0,0.2263555947,0.2660473847,0.2310121232999999,0.0863914332,-0.1968163844,1.4632437019,300.5301,1162,298.22729114116146,297.0752880589745,19175770.0,1162,20955287.42309453,18586282.6068035,0.1,0.11,4.7024655,1162,4.848701013394916,4.426185196654905,31.602576900000003,26.12770475180195,45.11009,41.6852962740054,0.430308933905,2.0235129160300427,13.179493302490751
13,2023-03-08,7.0,0.2306439256,0.2689056444,0.2448806198,0.0893114917,-0.1932112901,1.4560061599,299.9308,1163,299.0597262983258,297.1548186948459,20317658.0,1163,20945750.279058788,18679691.050101783,0.17,0.28,4.9185743,1163,4.79705593799884,4.454952319604665,36.521151200000006,30.58265707140661,42.161232,49.71366073512241,0.43524051444,2.140762808643363,15.320256111134114
13,2023-03-09,8.0,0.2349132401,0.2717515193,0.2586840995,0.0922181314,-0.1896215432,1.4487988721,299.95648,1164,300.19621055374705,297.2349500390204,20660438.0,1164,21036480.325772848,18773444.173655555,0.12,0.4,4.9443707,1164,4.826230093678724,4.483762218969115,41.465521900000006,35.066419290375734,42.36793,39.69872920393152,0.440150226115,2.176265881601381,17.496521992735495
13,2023-03-10,9.0,0.2391635382,0.2745850093999999,0.2724225624,0.0951113523,-0.1860471437,1.4416218385,300.00543,1165,301.2912912497765,297.3156580565817,21809390.0,1165,21007098.86440013,18867513.58427705,0.05,0.45,5.029154,1165,4.894941015723044,4.512606250804115,46.494675900000004,39.579025541179846,39.8097,40.064836299532,0.44503806893,2.238164984511585,19.73468697724708
13,2023-03-11,10.0,0.2433948199,0.2774061147,0.2860960085,0.0979911544,-0.1824880916,1.4344750591,300.12796,1166,301.9519479483345,297.3969185396438,22819582.0,1166,20627699.91274653,18961870.792990804,0.01,0.46,5.4465427,1166,4.939745358647245,4.541475760924607,51.941218600000006,44.12050130210445,41.900883,38.887146098797615,0.44990404288499997,2.4504215804757834,22.185108557722863
