Fecha,SRF,arima_predicts
2020-01-01,10238271.0,0.0
2020-01-02,12254388.0,8703654.258904198
2020-01-03,16704374.0,11952191.749484358
2020-01-04,15125868.0,16037364.55360026
2020-01-05,17282948.0,15362470.634974282
2020-01-06,17410808.0,16959622.77231615
2020-01-07,13370020.0,17391643.034578387
2020-01-08,16163037.0,13975694.662099771
2020-01-09,16417343.0,15744391.026067708
2020-01-10,16691510.0,16379225.013948778
2020-01-11,16170467.0,16650415.043995403
2020-01-12,15983941.0,16248566.25761125
2020-01-13,15341888.0,16011899.42593643
2020-01-14,10696524.0,15438125.474924482
2020-01-15,9283879.0,11392818.700694626
2020-01-16,10395962.0,9495620.690740006
2020-01-17,12834446.0,10229271.618012154
2020-01-18,13534610.0,12468941.060682299
2020-01-19,6153708.5,13429662.253641017
2020-01-20,4351176.0,7260033.558875692
2020-01-21,9343068.0,4621358.019660857
2020-01-22,17495946.0,8594832.136020364
2020-01-23,11058994.0,16273909.202278702
2020-01-24,10719436.0,12023830.246680707
2020-01-25,8468070.0,10770332.42834845
2020-01-26,10188325.0,8805527.778362269
2020-01-27,17004024.0,9930475.574132957
2020-01-28,17596908.0,15982417.276559241
2020-01-29,12871446.0,17508040.478030432
2020-01-30,10744268.0,13579746.608721694
2020-01-31,11589759.0,11063111.20988284
2020-02-01,9926815.0,11463028.155488139
2020-02-02,10683942.0,10176074.066620382
2020-02-03,13851936.0,10570456.056196066
2020-02-04,16027143.0,13377084.635492854
2020-02-05,14277217.0,15701100.712029917
2020-02-06,17920394.0,14539513.819023814
2020-02-07,16015092.0,17374317.34404956
2020-02-08,12611347.0,16300678.164146207
2020-02-09,19450502.0,13121535.137251642
2020-02-10,17740560.0,18425379.451211754
2020-02-11,17686014.0,17996863.607875545
2020-02-12,16977764.0,17694189.91274744
2020-02-13,7693545.5,17083923.758797582
2020-02-14,10452891.0,9085159.190905819
2020-02-15,17145030.0,10039292.0551088
2020-02-16,19373224.0,16141943.713971213
2020-02-17,18986324.0,19039239.478158534
2020-02-18,20160894.0,19044316.53184438
2020-02-19,17965974.0,19984837.426910166
2020-02-20,14882060.0,18294971.07416871
2020-02-21,6685767.5,15344308.593565105
2020-02-22,18384604.0,7914311.707320052
2020-02-23,20642750.0,16631062.650120232
2020-02-24,20315832.0,20304275.965845782
2020-02-25,17248520.0,20364833.81578057
2020-02-26,8441895.0,17708280.11588694
2020-02-27,19393818.0,9761922.089051541
2020-02-28,21828642.0,17752231.690011032
2020-02-29,15797897.0,21463685.658941668
2020-03-01,21040920.0,16701846.78407303
2020-03-02,21696972.0,20255042.051464636
2020-03-03,22290912.0,21598636.211678546
2020-03-04,22380980.0,22201886.193942484
2020-03-05,17120290.0,22367479.686331972
2020-03-06,21597532.0,17908816.059313588
2020-03-07,19786544.0,20926437.145360533
2020-03-08,12225055.0,20057993.416541215
2020-03-09,17365922.0,13358448.36165276
2020-03-10,15000684.0,16595356.238290932
2020-03-11,19130492.0,15355210.07917949
2020-03-12,22102906.0,18511474.109198272
2020-03-13,22803976.0,21657370.16761517
2020-03-14,18166518.0,22698892.453088287
2020-03-15,15293389.0,18861627.668498293
2020-03-16,15583127.0,15724042.980422642
2020-03-17,19732902.0,15539698.10314932
2020-03-18,17861206.0,19110891.250880007
2020-03-19,23082452.0,18141754.952915493
2020-03-20,16479040.0,22299838.211107887
2020-03-21,17468256.0,17468826.97516563
2020-03-22,19463146.0,17319982.181491412
2020-03-23,24466536.0,19164131.46949847
2020-03-24,24622860.0,23716576.698100626
2020-03-25,25202458.0,24599428.55893502
2020-03-26,25278404.0,25115581.919689994
2020-03-27,25016316.0,25267020.43622783
2020-03-28,24156920.0,25055600.43185844
2020-03-29,16727299.0,24285735.06822677
2020-03-30,18307026.0,17840926.636170063
2020-03-31,19144460.0,18070240.349049028
2020-04-01,21484516.0,19018936.821109924
2020-04-02,23622256.0,21133764.45671326
2020-04-03,15979216.0,23301829.649457194
2020-04-04,17659782.0,17124833.06019099
2020-04-05,11579288.0,17407881.56766196
2020-04-06,15963156.0,12490694.673364127
2020-04-07,17228526.0,15306056.996144813
2020-04-08,22725070.0,17038859.393590264
2020-04-09,24324466.0,21901191.72924773
2020-04-10,19489298.0,24084732.15802073
2020-04-11,22014226.0,20214042.466820735
2020-04-12,25487738.0,21635763.949225187
2020-04-13,26742332.0,24967092.47073702
2020-04-14,26007926.0,26554280.610760476
2020-04-15,7747483.5,26118006.28777903
2020-04-16,8709733.0,10484545.513889316
2020-04-17,24865154.0,8565501.196508164
2020-04-18,19834972.0,22443614.153006162
2020-04-19,26303590.0,20588947.161070153
2020-04-20,25063480.0,25334007.329144094
2020-04-21,26112090.0,25249360.37907867
2020-04-22,25714798.0,25954913.60088566
2020-04-23,25230238.0,25774348.19116443
2020-04-24,26388590.0,25302868.812175017
2020-04-25,24857594.0,26214964.346738163
2020-04-26,16663529.0,25087075.349918902
2020-04-27,24371864.0,17891739.326822035
2020-04-28,26921082.0,23216459.8569277
2020-04-29,24726746.0,26538979.11542188
2020-04-30,18975096.0,25055655.538271584
2020-05-01,26422908.0,19837212.16899133
2020-05-02,26766446.0,25306553.710568678
2020-05-03,25799450.0,26714953.008517046
2020-05-04,26077214.0,25944393.25749132
2020-05-05,21684944.0,26035579.888820823
2020-05-06,19311902.0,22343302.381607983
2020-05-07,24055244.0,19667597.822571874
2020-05-08,24565526.0,23344263.353880074
2020-05-09,20159996.0,24489039.711205438
2020-05-10,23229800.0,20820341.926121444
2020-05-11,20582454.0,22769666.357647933
2020-05-12,20606414.0,20979265.31353864
2020-05-13,19117964.0,20602822.629974175
2020-05-14,21709530.0,19341068.11998907
2020-05-15,24166102.0,21321079.56375854
2020-05-16,25628788.0,23797885.846115224
2020-05-17,25358376.0,25409545.65202033
2020-05-18,26443206.0,25398908.11817292
