Fecha,srf,srf_arima
2020-01-01,10314964.0,0.0
2020-01-02,12312105.0,8798435.903161883
2020-01-03,16722125.0,12018481.033658264
2020-01-04,15158476.0,16073754.372164318
2020-01-05,17295990.0,15388367.039914701
2020-01-06,17423828.0,16981728.09320875
2020-01-07,13421807.0,17405032.982217483
2020-01-08,16189717.0,14010192.737112662
2020-01-09,16441630.0,15782772.917095011
2020-01-10,16715134.0,16404593.208790444
2020-01-11,16200176.0,16674922.853520943
2020-01-12,16015406.0,16275886.233007789
2020-01-13,15380578.0,16042571.28290239
2020-01-14,10780855.0,15473911.77828846
2020-01-15,9381506.0,11457116.171010613
2020-01-16,10484302.0,9587241.300450165
2020-01-17,12901016.0,10322166.559595041
2020-01-18,13595772.0,12545705.50855568
2020-01-19,6284341.0,13493627.478226265
2020-01-20,4499955.0,7359283.3149662055
2020-01-21,9446044.0,4762299.268534201
2020-01-22,17523366.0,8718859.354519673
2020-01-23,11148182.0,16335820.74252476
2020-01-24,10813001.0,12085475.266844139
2020-01-25,8584006.0,10862280.03170702
2020-01-26,10288515.0,8911717.64021764
2020-01-27,17041246.0,10037914.41984808
2020-01-28,17629730.0,16048444.960985333
2020-01-29,12949925.0,17543209.816293065
2020-01-30,10843214.0,13637959.99893392
2020-01-31,11681929.0,11152947.183463644
2020-02-01,10035817.0,11558619.316342058
2020-02-02,10786263.0,10277831.92758034
2020-02-03,13926802.0,10675930.814618353
2020-02-04,16082717.0,13465073.199864753
2020-02-05,14349706.0,15765749.73860201
2020-02-06,17959776.0,14604497.005509304
2020-02-07,16074032.0,17429015.742125716
2020-02-08,12703504.0,16351278.139749335
2020-02-09,19478732.0,13199046.277698908
2020-02-10,17785330.0,18482623.403646722
2020-02-11,17733660.0,18034297.605117027
2020-02-12,17032522.0,17741256.634559542
2020-02-13,7837314.0,17135604.817143563
2020-02-14,10571869.0,9189213.262143862
2020-02-15,17201464.0,10169828.84095283
2020-02-16,19410314.0,16226766.680612268
2020-02-17,19027500.0,19085564.12102103
2020-02-18,20193376.0,19083782.137841616
2020-02-19,18019562.0,20021966.402288754
2020-02-20,14966300.0,18339160.810884755
2020-02-21,6847597.0,15415197.14783308
2020-02-22,18437948.0,8041226.181119683
2020-02-23,20675284.0,16733909.66123829
2020-02-24,20353070.0,20346346.048018064
2020-02-25,17315074.0,20400442.595470645
2020-02-26,8592964.0,17761726.707670778
2020-02-27,19442250.0,9875307.376391007
2020-02-28,21855782.0,17847164.631818254
2020-02-29,15883427.0,21500939.333041232
2020-03-01,21077546.0,16761495.480643528
2020-03-02,21729050.0,20313895.450323753
2020-03-03,22319026.0,21633264.480315857
2020-03-04,22407954.0,22232286.45924327
2020-03-05,17198406.0,22394879.614125974
2020-03-06,21633952.0,17964324.954449214
2020-03-07,19841636.0,20981828.484729312
2020-03-08,12352206.0,20105146.1541943
2020-03-09,17445130.0,13453318.110881895
2020-03-10,15103781.0,16696357.35692822
2020-03-11,19196344.0,15448011.167008867
2020-03-12,22141672.0,18594646.583261058
2020-03-13,22836588.0,21708643.541049246
2020-03-14,18243668.0,22734419.954682052
2020-03-15,15399208.0,18918928.979315072
2020-03-16,15686664.0,15817406.628589775
2020-03-17,19798270.0,15644401.6004655
2020-03-18,17945816.0,19193772.84043316
2020-03-19,23118810.0,18218167.772331353
2020-03-20,16577995.0,22358265.29327073
2020-03-21,17558790.0,17539639.692792106
2020-03-22,19536530.0,17414591.40908021
2020-03-23,24492536.0,19245758.41041634
2020-03-24,24649014.0,23763893.33584487
2020-03-25,25224046.0,24626008.267803214
2020-03-26,25300904.0,25139503.558272842
2020-03-27,25040992.0,25289604.171492603
2020-03-28,24191310.0,25079204.821398094
2020-03-29,16832508.0,24316232.075591646
2020-03-30,18397074.0,17914414.901297152
2020-03-31,19228254.0,18167048.14077252
2020-04-01,21547174.0,19106052.128252376
2020-04-02,23665684.0,21206241.392823454
2020-04-03,16095026.0,23354216.10217274
2020-04-04,17760664.0,17208080.426190637
2020-04-05,11739026.0,17515778.31789267
2020-04-06,16081342.0,12624340.17332783
2020-04-07,17335692.0,15442925.359898385
2020-04-08,22780946.0,17151274.764471434
2020-04-09,24366178.0,21980373.042347938
2020-04-10,19577408.0,24133113.780993007
2020-04-11,22078280.0,20281463.267654266
2020-04-12,25520724.0,21710596.41834353
2020-04-13,26764400.0,25014608.477265596
2020-04-14,26036616.0,26581552.078914795
2020-04-15,7949669.5,26143616.369388066
2020-04-16,8902571.0,10608851.285532802
2020-04-17,24906824.0,8762473.371458506
2020-04-18,19923696.0,22553844.293411124
2020-04-19,26333056.0,20656326.19894367
2020-04-20,25104326.0,25390738.104111794
2020-04-21,26143956.0,25284976.528011333
2020-04-22,25750850.0,25991107.360806342
2020-04-23,25271740.0,25808645.28982317
2020-04-24,26418898.0,25342179.78292669
2020-04-25,24903200.0,26250240.362917464
2020-04-26,16786704.0,25126041.18073598
2020-04-27,24422196.0,17980008.703231685
2020-04-28,26948310.0,23299609.539649636
2020-04-29,24775072.0,26576915.2851995
2020-04-30,19078448.0,25094586.126125585
2020-05-01,26455868.0,19915977.915833447
2020-05-02,26795882.0,25371223.840289272
2020-05-03,25838432.0,26745892.410235573
2020-05-04,26114472.0,25979198.358796846
2020-05-05,21763250.0,26073888.005345155
2020-05-06,19412988.0,22402976.019381415
2020-05-07,24111394.0,19758528.575443726
2020-05-08,24618500.0,23420624.24202908
2020-05-09,20254142.0,24543944.184924506
2020-05-10,23294762.0,20895799.30236137
2020-05-11,20672778.0,22847723.506204117
2020-05-12,20696222.0,21058267.728449102
2020-05-13,19221490.0,20692775.212684073
2020-05-14,21789108.0,19438308.27128434
2020-05-15,24222268.0,21411611.27783044
2020-05-16,25671632.0,23864539.582254805
2020-05-17,25403474.0,25458543.386650756
2020-05-18,26478538.0,25442899.166058015
2020-05-19,27485876.0,26320479.777895898
2020-05-20,25709648.0,27337775.00011729
2020-05-21,20567984.0,25970792.8618236
2020-05-22,22412600.0,21323922.502727903
2020-05-23,23047544.0,22141400.58729082
2020-05-24,24236310.0,22954193.167141985
2020-05-25,24274662.0,24061535.065244667
2020-05-26,21989772.0,24269023.406451955
2020-05-27,19279836.0,22325701.443366576
2020-05-28,21473812.0,19678256.620703425
2020-05-29,15774661.0,21151248.928500004
2020-05-30,23446602.0,16612562.440809872
2020-05-31,24202906.0,22318656.729255583
2020-06-01,22189836.0,24091712.558855824
2020-06-02,22624682.0,22485801.88219037
2020-06-03,24470462.0,22560750.005580056
2020-06-04,24313308.0,24199091.453506663
2020-06-05,24628760.0,24336413.11917109
2020-06-06,23752054.0,24582381.56831669
2020-06-07,25793180.0,23880949.202209357
2020-06-08,26829776.0,25493089.264331743
2020-06-09,27229238.0,26677373.4260135
2020-06-10,22056168.0,27170508.237382937
2020-06-11,15944998.0,22816723.88041277
2020-06-12,26666370.0,16843475.360581264
2020-06-13,24633822.0,25090090.823284272
2020-06-14,23100262.0,24932651.579654098
2020-06-15,27574288.0,23325729.290403146
2020-06-16,24480564.0,26916507.072345894
2020-06-17,26289146.0,24935409.958120443
2020-06-18,24952656.0,26023244.383492067
2020-06-19,24783552.0,25149149.635039322
2020-06-20,25042896.0,24808414.033879556
2020-06-21,24837840.0,25004766.687183864
2020-06-22,21427774.0,24867987.774264395
2020-06-23,24712830.0,21929129.239518438
2020-06-24,18805818.0,24229853.9996201
2020-06-25,14610019.0,19674279.612208765
2020-06-26,17371590.0,15226894.39555429
2020-06-27,23571806.0,16965577.890512332
2020-06-28,24389870.0,22660236.904930856
2020-06-29,25999188.0,24269596.470789302
2020-06-30,25170098.0,25762582.605455924
2020-07-01,25150728.0,25291992.595451333
2020-07-02,26701298.0,25153575.819071382
2020-07-03,26894406.0,26473329.862802625
2020-07-04,28445570.0,26866014.84639977
2020-07-05,28454652.0,28217514.53164473
2020-07-06,26075986.0,28453316.744821563
2020-07-07,25092906.0,26425702.59263028
2020-07-08,24575704.0,25237440.536535595
2020-07-09,25595304.0,24651744.15071539
2020-07-10,26522466.0,25445400.214497607
2020-07-11,27567870.0,26386152.648122825
2020-07-12,28645440.0,27414172.45490453
2020-07-13,28635848.0,28487013.340384647
2020-07-14,28095130.0,28637258.236475617
2020-07-15,27333142.0,28174627.52362621
2020-07-16,24327850.0,27445171.115052372
2020-07-17,26718998.0,24769694.49523348
2020-07-18,25722412.0,26367446.27687674
2020-07-19,27646038.0,25868932.21771154
2020-07-20,25501408.0,27363222.367113747
2020-07-21,27098060.0,25816716.11642016
2020-07-22,27897944.0,26863316.78802475
2020-07-23,26809440.0,27780343.333500594
2020-07-24,26754686.0,26969474.199818064
2020-07-25,21679202.0,26762736.050874263
2020-07-26,14299486.0,22425410.576752476
2020-07-27,9491605.0,15384467.722570198
2020-07-28,13935824.0,10198470.007988455
2020-07-29,9832106.0,13282425.361610772
2020-07-30,23409452.0,10435443.4488371
2020-07-31,24475546.0,21413281.381644014
2020-08-01,26689318.0,24318806.566593383
2020-08-02,23226874.0,26363844.47799215
2020-08-03,26270214.0,23735929.96576113
2020-08-04,24394580.0,25822775.605952483
2020-08-05,24681238.0,24670339.74579933
2020-08-06,25983672.0,24639092.924142268
2020-08-07,22982248.0,25792185.351346586
2020-08-08,21210434.0,23423523.81355211
2020-08-09,15981166.0,21470929.9060476
2020-08-10,17981752.0,16749984.231273565
2020-08-11,23609504.0,17687621.542346913
2020-08-12,24906098.0,22782099.793773383
2020-08-13,25696410.0,24715469.960710388
2020-08-14,27741394.0,25580216.629533183
2020-08-15,26108196.0,27440736.052871887
2020-08-16,24168958.0,26348312.283517983
2020-08-17,25486046.0,24454068.942712914
2020-08-18,23758778.0,25292404.888740905
2020-08-19,20195774.0,24012724.65729418
2020-08-20,24025586.0,20719614.513299495
2020-08-21,25008500.0,23462518.800546795
2020-08-22,24590816.0,24863989.869141527
2020-08-23,23943894.0,24652224.80025871
2020-08-24,24773022.0,24039005.86418672
2020-08-25,16643879.0,24651121.817706916
2020-08-26,23124606.0,17839043.092379633
2020-08-27,24166548.0,22171795.574237384
2020-08-28,25381048.0,24013359.445592456
2020-08-29,25780760.0,25202489.59720218
2020-08-30,25061320.0,25721993.481845103
2020-08-31,23554938.0,25167093.61655732
2020-09-01,24844942.0,23776409.52237413
2020-09-02,25942258.0,24655282.83668769
2020-09-03,25178296.0,25780928.24098436
2020-09-04,21844620.0,25290615.336779106
2020-09-05,9076760.0,22334744.217377868
2020-09-06,16386102.0,10953918.24515945
2020-09-07,21043344.0,15311466.814307937
2020-09-08,23118878.0,20358626.26186668
2020-09-09,21602592.0,22813728.526148565
2020-09-10,14994182.0,21825519.629760966
2020-09-11,17347984.0,15965764.655111676
2020-09-12,23181694.0,17001922.966140542
2020-09-13,22084174.0,22324009.405528482
2020-09-14,15602426.0,22245533.75153451
2020-09-15,15031614.0,16555386.53537913
2020-09-16,15901260.0,15115536.008248521
2020-09-17,18056752.0,15773402.774179077
2020-09-18,21558752.0,17739846.928972024
2020-09-19,21547906.0,21043880.42602062
2020-09-20,21320600.0,21549500.602253392
2020-09-21,23820294.0,21354019.017131627
2020-09-22,23845534.0,23452783.610437803
2020-09-23,23924822.0,23841823.160900276
2020-09-24,24043598.0,23913164.907664854
2020-09-25,24161730.0,24026135.296952892
2020-09-26,22935270.0,24144361.979218353
2020-09-27,22699820.0,23115586.7877278
2020-09-28,21992650.0,22734436.365532108
2020-09-29,23008820.0,22096619.654760424
2020-09-30,24892310.0,22859420.500476692
2020-10-01,24542764.0,24615395.248179775
2020-10-02,18489464.0,24594155.004910965
2020-10-03,23895290.0,19379433.188683435
2020-10-04,23812176.0,23100513.83173082
2020-10-05,23881270.0,23824395.599086158
2020-10-06,20367968.0,23871111.651475575
2020-10-07,23330148.0,20884501.21833379
2020-10-08,21941034.0,22894641.923754927
2020-10-09,22640256.0,22145264.528731238
2020-10-10,22362480.0,22537454.877298396
2020-10-11,22628824.0,22403319.225109566
2020-10-12,20160590.0,22589665.532124512
2020-10-13,16116358.0,20523475.072681163
2020-10-14,19139346.0,16710949.689142711
2020-10-15,21001134.0,18694899.800776474
2020-10-16,14754752.0,20727409.922908075
2020-10-17,19228070.0,15673108.519707732
2020-10-18,21531566.0,18570393.16402904
2020-10-19,21047556.0,21192901.06248566
2020-10-20,18765500.0,21118716.191468235
2020-10-21,20757448.0,19101012.78258969
2020-10-22,20098362.0,20464587.519690152
2020-10-23,20506426.0,20195262.241635572
2020-10-24,19098288.0,20446431.552837145
2020-10-25,21004892.0,19305315.478138257
2020-10-26,20256550.0,20724578.97817379
2020-10-27,20038416.0,20366572.850775238
2020-10-28,17338654.0,20070486.52995957
2020-10-29,15922278.0,17735578.81733573
2020-10-30,20744254.0,16130516.646620965
2020-10-31,20390592.0,20035316.714788463
2020-11-01,19623354.0,20442588.148085862
2020-11-02,16972394.0,19736154.981346887
2020-11-03,20433374.0,17362143.84230622
2020-11-04,20039422.0,19924533.27466843
2020-11-05,19046816.0,20097341.6705632
2020-11-06,17337906.0,19192751.06954922
2020-11-07,19300922.0,17589153.62463995
2020-11-08,19196614.0,19012315.16457261
2020-11-09,18375804.0,19211949.586561576
2020-11-10,18045506.0,18496481.25203827
2020-11-11,16080627.0,18094067.122542046
2020-11-12,17653854.0,16369507.737695327
2020-11-13,16545656.0,17422554.7819198
2020-11-14,18439756.0,16708585.654066477
2020-11-15,15340382.0,18161281.3431541
2020-11-16,13835002.0,15796058.633275492
2020-11-17,12090884.0,14056326.206178494
2020-11-18,14268732.0,12347307.980544195
2020-11-19,14927921.0,13948540.101756753
2020-11-20,14438534.0,14831005.61508284
2020-11-21,4878248.5,14510484.72957597
2020-11-22,14346561.0,6283822.241598304
2020-11-23,16663430.0,12954509.326726539
2020-11-24,17567304.0,16322798.935255842
2020-11-25,16918038.0,17434414.49998314
2020-11-26,16726526.0,17013494.48410945
2020-11-27,16681470.0,16754682.506246699
2020-11-28,14889498.0,16688094.230050605
2020-11-29,6501518.5,15152957.578574238
2020-11-30,8821724.0,7734737.291453964
2020-12-01,16992624.0,8480602.39584791
2020-12-02,17161784.0,15791320.703647021
2020-12-03,10401035.0,17136913.732879966
2020-12-04,9234271.0,11395014.862624085
2020-12-05,7869431.0,9405811.153381635
2020-12-06,5566157.0,8070092.713029702
2020-12-07,15881754.0,5904789.298596741
2020-12-08,16426818.0,14365132.736742724
2020-12-09,16931966.0,16346681.518104084
2020-12-10,16818292.0,16857698.05429682
2020-12-11,16303229.0,16835004.59603099
2020-12-12,15773205.0,16378954.670333678
2020-12-13,16177480.0,15851130.26873982
2020-12-14,12015191.0,16118042.619768556
2020-12-15,16607525.0,12627139.683263011
2020-12-16,16742161.0,15932350.175665611
2020-12-17,9170031.0,16722366.5256327
2020-12-18,14720782.0,10283301.842797397
2020-12-19,16305513.0,13904698.64644842
2020-12-20,13007234.0,16072522.439090827
2020-12-21,9532617.0,13492154.07428702
2020-12-22,13609161.0,10043462.666409343
2020-12-23,16250626.0,13009818.73110331
2020-12-24,13133166.0,15862272.133020718
2020-12-25,16602989.0,13591501.675904559
2020-12-26,16275714.0,16092848.157784164
2020-12-27,16874154.0,16323830.674578557
2020-12-28,16461623.0,16786170.06375436
2020-12-29,16360629.0,16522274.195112877
2020-12-30,16685622.0,16375477.355152048
2020-12-31,16019317.0,16637840.829970794
2021-01-01,7707612.0,16117278.594546068
2021-01-02,5739022.5,8929616.750371873
2021-01-03,14891481.0,6028448.76338786
2021-01-04,17137486.0,13545866.861314684
2021-01-05,15392170.0,16807273.51298813
2021-01-06,16701973.0,15648770.113081496
2021-01-07,14120664.0,16509402.945113387
2021-01-08,16727022.0,14500173.602443501
2021-01-09,8006659.0,16343829.639687678
2021-01-10,16851962.0,9288745.528692624
2021-01-11,6250054.5,15551506.523719432
2021-01-12,8335735.5,7808769.748917423
2021-01-13,11883089.0,8029094.192378958
2021-01-14,14651942.0,11361549.456879992
2021-01-15,17153006.0,14244859.275206301
2021-01-16,16966986.0,16785294.19009047
2021-01-17,15759620.0,16994335.06059156
2021-01-18,17044536.0,15937129.546770185
2021-01-19,12553896.0,16855624.88539369
2021-01-20,3468739.2,13214119.553676406
2021-01-21,14312457.0,4804458.497962731
2021-01-22,16145469.0,12718190.280561322
2021-01-23,15110643.0,15875975.632334923
2021-01-24,14441956.0,15262785.344778636
2021-01-25,18147396.0,14540267.80131055
2021-01-26,18353344.0,17602614.23955278
2021-01-27,17564736.0,18323065.08197661
2021-01-28,7681163.0,17680678.84472094
2021-01-29,13630552.0,9134267.165348407
2021-01-30,18479958.0,12755860.03008406
2021-01-31,17341996.0,17766987.89717731
2021-02-01,13584548.0,17509301.621378846
2021-02-02,18923932.0,14136976.088493913
2021-02-03,19079780.0,18138924.2775099
2021-02-04,19180518.0,19056866.891758557
2021-02-05,19413842.0,19165707.282518692
2021-02-06,19416226.0,19379538.20356163
2021-02-07,18804830.0,19415875.499191213
