Fecha,et,dia,reconstruida_et,ajustados_et
2020-01-01,1.714925,1,2.4697680446108463,2.8927571342668434
2020-01-02,2.3010213,2,2.5905750412516566,2.899940879263207
2020-01-03,3.2932794,3,2.639677410463814,2.907558116545365
2020-01-04,2.6037762,4,2.6529964564986477,2.915606604685065
2020-01-05,2.7475116,5,2.676044427464649,2.9240839753553107
2020-01-06,2.7292266,6,2.744399297693729,2.9329877340272565
2020-01-07,2.7966998,7,2.868775640093804,2.942315260704243
2020-01-08,2.8455884,8,3.0300163067455985,2.95206381069275
2020-01-09,3.190141,9,3.1855751732365967,2.9622305154100412
2020-01-10,3.2777088,10,3.2848547586172416,2.9728123832282694
2020-01-11,3.8143733,11,3.2876307650074206,2.9838063003547814
2020-01-12,2.9622676,12,3.1788382344439694,2.9952090317483755
2020-01-13,2.9481735,13,2.9744949483320746,3.007017222071239
2020-01-14,2.3691404,14,2.7168804928617756,3.0192273966762766
2020-01-15,2.387571,15,2.4610034342911766,3.0318359626295535
2020-01-16,2.1303637,16,2.2574300635573206,3.0448392097675425
2020-01-17,2.5380487,17,2.1376330135507042,3.058233311788868
2020-01-18,2.5909061,18,2.1068151565324267,3.07201432738022
2020-01-19,2.0095162,19,2.1461979378294385,3.086178201376118
2020-01-20,1.7589403,20,2.223198176637077,3.1007207659521723
2020-01-21,2.078023,21,2.305107442863482,3.115637741851497
2020-01-22,3.121294,22,2.370864017325738,3.130924739643912
2020-01-23,2.2369056,23,2.41659422733087,3.146577261017567
2020-01-24,2.2678976,24,2.4533082690208743,3.1625907001026015
2020-01-25,2.0888364,25,2.49836399315225,3.1789603448264563
2020-01-26,2.0474756,26,2.564780314446221,3.1956813783004354
2020-01-27,3.2817082,27,2.6532283037809026,3.212748880237113
2020-01-28,3.5221832,28,2.7502803411287724,3.2301578283981613
2020-01-29,3.1995597,29,2.8337752132831326,3.247903100072183
2020-01-30,2.495477,30,2.8830654439735235,3.2659794735821066
2020-01-31,2.610882,31,2.8897108690857474,3.284381629821703
2020-02-01,2.31552,32,2.863785093437281,3.3031041538207724
2020-02-02,2.427682,33,2.832575767940749,3.322141536338539
2020-02-03,2.8030984,34,2.831490299983345,3.3414881754847854
2020-02-04,3.573075,35,2.8902471332905195,3.36113837836825
2020-02-05,3.545997,36,3.019628199517959,3.381086362771803
2020-02-06,3.4794462,37,3.2042594469455694,3.4013262588539064
2020-02-07,3.0432484,38,3.404898817777724,3.421852110875857
2020-02-08,2.9406497,39,3.5702192003603193,3.442657878954307
2020-02-09,3.8869507,40,3.654368104145689,3.4637374408385457
