Fecha,SRF,Dia,Reconstruida,Ajustados
2020-01-01,10238271.0,1,13587844.56353819,14232537.326889545
2020-01-02,12254388.0,2,14603141.726466155,14238588.235002242
2020-01-03,16704374.0,3,15210356.524682583,14246311.838993851
2020-01-04,15125868.0,4,15507480.48201191,14255705.830669988
2020-01-05,17282948.0,5,15653881.25852829,14266767.402641911
2020-01-06,17410808.0,6,15795390.323068276,14279493.249165513
2020-01-07,13370020.0,7,16004184.794720978,14293879.567129247
2020-01-08,16163037.0,8,16253353.35337292,14309922.057190673
2020-01-09,16417343.0,9,16432324.282321583,14327615.925061326
2020-01-10,16691510.0,10,16394482.68287281,14346955.882939473
2020-01-11,16170467.0,11,16017575.52094608,14367936.15109038
2020-01-12,15983941.0,12,15254384.866747607,14390550.45957358
2020-01-13,15341888.0,13,14156212.943103516,14414792.050116634
2020-01-14,10696524.0,14,12862582.398599941,14440653.67813485
2020-01-15,9283879.0,15,11562899.376019375,14468127.614896305
2020-01-16,10395962.0,16,10445095.517275782,14497205.649831587
2020-01-17,12834446.0,17,9649336.747877281,14527879.092987515
2020-01-18,13534610.0,18,9241148.771256883,14560138.777624123
2020-01-19,6153708.5,19,9209737.531562058,14593975.062954132
2020-01-20,4351176.0,20,9487541.457372868,14629377.837024104
2020-01-21,9343068.0,21,9979990.873173404,14666336.519736383
2020-01-22,17495946.0,22,10592596.353575226,14704840.066010958
2020-01-23,11058994.0,23,11246117.193804245,14744876.969086269
2020-01-24,10719436.0,24,11877689.231585957,14786435.263958009
2020-01-25,8468070.0,25,12433071.324580662,14829502.530954847
2020-01-26,10188325.0,26,12859320.978134278,14874065.899450047
2020-01-27,17004024.0,27,13106396.85868593,14920112.051707838
2020-01-28,17596908.0,28,13140794.942407284,14967627.226863423
2020-01-29,12871446.0,29,12966816.03244092,15016597.225035395
2020-01-30,10744268.0,30,12644952.870495824,15067007.411569366
2020-01-31,11589759.0,31,12295262.889853086,15118842.721411532
2020-02-01,9926815.0,32,12077756.460883116,15172087.663610842
2020-02-02,10683942.0,33,12150619.003789034,15226726.325948466
2020-02-03,13851936.0,34,12617196.66982019,15282742.379693162
2020-02-04,16027143.0,35,13479891.099654015,15340119.084481085
2020-02-05,14277217.0,36,14619973.51875372,15398839.293318653
2020-02-06,17920394.0,37,15815632.967130527,15458885.457706913
2020-02-07,16015092.0,38,16798039.774023436,15520239.63288589
2020-02-08,12611347.0,39,17331054.345598385,15582883.48319738
2020-02-09,19450502.0,40,17289716.004772156,15646798.287564538
2020-02-10,17740560.0,41,16710173.103949085,15711964.945086673
2020-02-11,17686014.0,42,15790976.919415671,15778363.980747528
2020-02-12,16977764.0,43,14840865.909289263,15845975.551235393
2020-02-13,7693545.5,44,14186434.38311333,15914779.450873248
2020-02-14,10452891.0,45,14068044.769555606,15984755.11765723
2020-02-15,17145030.0,46,14558402.676009748,16055881.639401568
2020-02-16,19373224.0,47,15532623.800324623,16128137.75998819
2020-02-17,18986324.0,48,16702653.216641478,16201501.885719085
2020-02-18,20160894.0,49,17707592.591330085,16275952.091769572
2020-02-19,17965974.0,50,18232037.637600303,16351466.12874053
2020-02-20,14882060.0,51,18113792.410502918,16428021.429307602
2020-02-21,6685767.5,52,17404399.89406822,16505595.114965439
2020-02-22,18384604.0,53,16360573.703324817,16584164.00286492
2020-02-23,20642750.0,54,15367205.51993248,16663704.612741333
2020-02-24,20315832.0,55,14815627.576861512,16744193.173931446
2020-02-25,17248520.0,56,14976355.765105568,16825605.632477347
2020-02-26,8441895.0,57,15908151.157055952,16907917.65831495
2020-02-27,19393818.0,58,17433795.120173592,16991104.652545042
2020-02-28,21828642.0,59,19191174.359519806,17075141.754784618
2020-02-29,15797897.0,60,20743418.516312573,17160003.850596417
2020-03-01,21040920.0,61,21712336.084604267,17245665.578994345
2020-03-02,21696972.0,62,21891872.27354119,17332101.34002259
2020-03-03,22290912.0,63,21305291.669581432,17419285.302406162
2020-03-04,22380980.0,64,20188825.85315453,17507191.41127054
2020-03-05,17120290.0,65,18909062.605817765,17595793.395928174
2020-03-06,21597532.0,66,17843003.57804636,17685064.777729437
2020-03-07,19786544.0,67,17261186.369596172,17774978.877975784
2020-03-08,12225055.0,68,17251866.777484808,17865508.82589265
2020-03-09,17365922.0,69,17709137.428784087,17956627.566659752
2020-03-10,15000684.0,70,18385530.094606265,18048307.86949644
2020-03-11,19130492.0,71,18987978.794493396,18140522.335799556
2020-03-12,22102906.0,72,19282436.19025563,18233243.40733153
2020-03-13,22803976.0,73,19171329.044589933,18326443.374456123
2020-03-14,18166518.0,74,18719299.633830015,18420094.384419423
