Fecha,srf,dia,reconstruida_srf,ajustados_srf
2020-01-01,10314964.0,1,13632833.897237979,14268127.870885227
2020-01-02,12312105.0,2,14639355.700173162,14275087.91699785
2020-01-03,16722125.0,3,15241621.422322685,14283718.59579036
2020-01-04,15158476.0,4,15536706.917817224,14294017.328844763
2020-01-05,17295990.0,5,15682494.41725537,14305981.039411344
2020-01-06,17423828.0,6,15823462.020092698,14319606.153327826
2020-01-07,13421807.0,7,16031126.100936405,14334888.600087177
2020-01-08,16189717.0,8,16278840.875211062,14351823.81405364
2020-01-09,16441630.0,9,16457076.863757141,14370406.735826753
2020-01-10,16715134.0,10,16420588.431382695,14390631.813752828
2020-01-11,16200176.0,11,16048252.340226086,14412493.005583514
2020-01-12,16015406.0,12,15293269.223994134,14435983.78028091
2020-01-13,15380578.0,13,14206434.491460199,14461097.119968742
2020-01-14,10780855.0,14,12925942.168498246,14487825.522028921
2020-01-15,9381506.0,15,11639413.175980978,14516161.001342978
2020-01-16,10484302.0,16,10533021.501636256,14546095.092677612
2020-01-17,12901016.0,17,9745635.563247852,14577618.853213679
2020-01-18,13595772.0,18,9342190.481459321,14610722.86521786
2020-01-19,6284341.0,19,9312016.891463842,14645397.23885623
2020-01-20,4499955.0,20,9588202.550333455,14681631.615148816
2020-01-21,9446044.0,21,10077067.788251128,14719415.169064378
2020-01-22,17523366.0,22,10684998.887787685,14758736.612754373
2020-01-23,11148182.0,23,11333477.604198322,14799584.198925205
2020-01-24,10813001.0,24,11960204.91995496,14841945.724347737
2020-01-25,8584006.0,25,12511427.91680467,14885808.533503009
2020-01-26,10288515.0,26,12934690.551811267,14931159.522363074
2020-01-27,17041246.0,27,13180424.386400586,14977985.14230583
2020-01-28,17629730.0,28,13215455.909343518,15026271.404162684
2020-01-29,12949925.0,29,13044069.806770498,15076003.882397812
2020-01-30,10843214.0,30,12726216.49786907,15127167.719417796
2020-01-31,11681929.0,31,12380845.970052043,15179747.630010331
2020-02-01,10035817.0,32,12166474.688881444,15233727.905910691
2020-02-02,10786263.0,33,12239797.781147081,15289092.420494579
2020-02-03,13926802.0,34,12703174.080114376,15345824.63359595
2020-02-04,16082717.0,35,13558958.579394044,15403907.596448414
2020-02-05,14349706.0,36,14689512.600558419,15463323.956748659
2020-02-06,17959776.0,37,15875088.975039005,15524055.96384047
2020-02-07,16074032.0,38,16849373.68006964,15586085.474017743
2020-02-08,12703504.0,39,17378447.80857149,15649393.955944926
2020-02-09,19478732.0,40,17338537.84195976,15713962.49619325
2020-02-10,17785330.0,41,16765472.769424692,15779771.804891134
2020-02-11,17733660.0,42,15855960.330648817,15846802.22148703
2020-02-12,17032522.0,43,14915856.211443558,15915033.72062303
2020-02-13,7837314.0,44,14268695.795250956,15984445.918117434
2020-02-14,10571869.0,45,14152582.21051528,16055018.077054545
2020-02-15,17201464.0,46,14639526.883005975,16126729.11397982
2020-02-16,19410314.0,47,15605800.546685718,16199557.605198562
2020-02-17,19027500.0,48,16766033.624839982,16273481.793176249
2020-02-18,20193376.0,49,17762699.776058264,16348479.593038619
2020-02-19,18019562.0,50,18283345.864248313,16424528.599169515
2020-02-20,14966300.0,51,18167296.961600855,16501606.091904584
2020-02-21,6847597.0,52,17465618.751665734,16579689.044318777
2020-02-22,18437948.0,53,16432627.963751616,16658754.129105654
2020-02-23,20675284.0,54,15449619.529640224,16738777.725546416
2020-02-24,20353070.0,55,14904268.131385988,16819735.926566612
2020-02-25,17315074.0,56,15064562.254195433,16901604.54587838
2020-02-26,8592964.0,57,15988716.5607943,16984359.125206113
2020-02-27,19442250.0,58,17501173.066526696,17067974.94159336
2020-02-28,21855782.0,59,19243207.125526246,17152427.014788844
2020-02-29,15883427.0,60,20782033.459690895,17237690.114709295
