Fecha,SRF,holtwinters_predicts
2020-01-01,10238271.0,15645874.144330524
2020-01-02,12254388.0,10585548.136142544
2020-01-03,16704374.0,10303990.630206129
2020-01-04,15125868.0,16919915.608278554
2020-01-05,17282948.0,17194330.74653253
2020-01-06,17410808.0,16623286.436019905
2020-01-07,13370020.0,16994437.559124902
2020-01-08,16163037.0,11830865.001169307
2020-01-09,16417343.0,16650570.20704716
2020-01-10,16691510.0,12513998.59428783
2020-01-11,16170467.0,16686740.951149685
2020-01-12,15983941.0,11846830.529581686
2020-01-13,15341888.0,16931713.61815682
2020-01-14,10696524.0,18853244.85563837
2020-01-15,9283879.0,16593238.364820376
2020-01-16,10395962.0,13589563.718566427
2020-01-17,12834446.0,12256423.505764484
2020-01-18,13534610.0,11769923.084963111
2020-01-19,6153708.5,13083891.194752922
2020-01-20,4351176.0,7310521.519280216
2020-01-21,9343068.0,1615945.1501126457
2020-01-22,17495946.0,7520709.075552635
2020-01-23,11058994.0,9688257.904685061
2020-01-24,10719436.0,8670622.2094807
2020-01-25,8468070.0,17206969.735444754
2020-01-26,10188325.0,12457736.566682022
2020-01-27,17004024.0,8517893.98797803
2020-01-28,17596908.0,10305773.577272747
2020-01-29,12871446.0,14531910.87339011
2020-01-30,10744268.0,16331253.214186851
2020-01-31,11589759.0,17942269.90153456
2020-02-01,9926815.0,13616085.612814026
2020-02-02,10683942.0,7218519.078439097
2020-02-03,13851936.0,12503421.41892739
2020-02-04,16027143.0,14787538.670151731
2020-02-05,14277217.0,14592822.65177948
2020-02-06,17920394.0,15610478.44495917
2020-02-07,16015092.0,18336037.496230874
2020-02-08,12611347.0,13600756.562719772
2020-02-09,19450502.0,11370186.694435857
2020-02-10,17740560.0,17705399.008479264
2020-02-11,17686014.0,13793265.146838214
2020-02-12,16977764.0,18688609.4653325
2020-02-13,7693545.5,18228445.153539248
2020-02-14,10452891.0,11985796.148778666
2020-02-15,17145030.0,13467859.848401213
2020-02-16,19373224.0,16386940.048500888
2020-02-17,18986324.0,18283345.655442365
2020-02-18,20160894.0,19263274.210570052
2020-02-19,17965974.0,19226966.462274056
2020-02-20,14882060.0,13925735.261790618
2020-02-21,6685767.5,19436995.682352014
2020-02-22,18384604.0,15280844.07665739
2020-02-23,20642750.0,13892012.881669257
2020-02-24,20315832.0,19354509.590894118
2020-02-25,17248520.0,19435065.30203797
2020-02-26,8441895.0,14258387.69518497
2020-02-27,19393818.0,12944057.505936496
2020-02-28,21828642.0,17153744.743629202
2020-02-29,15797897.0,20746365.04889088
2020-03-01,21040920.0,19522059.05437499
2020-03-02,21696972.0,15706543.213406328
2020-03-03,22290912.0,22430290.49107366
2020-03-04,22380980.0,22193953.66509236
2020-03-05,17120290.0,23832498.283783756
2020-03-06,21597532.0,20456462.30417645
2020-03-07,19786544.0,18278839.2463964
2020-03-08,12225055.0,15355004.923748622
2020-03-09,17365922.0,14565316.743010737
2020-03-10,15000684.0,22237867.33176309
2020-03-11,19130492.0,19247505.533182725
2020-03-12,22102906.0,14903591.753078897
2020-03-13,22803976.0,19352513.438784987
2020-03-14,18166518.0,19362356.145633675
2020-03-15,15293389.0,19403219.863315124
2020-03-16,15583127.0,21985933.05892318
2020-03-17,19732902.0,19611989.58309093
2020-03-18,17861206.0,18000945.462941773
2020-03-19,23082452.0,9682646.37845112
2020-03-20,16479040.0,19193058.26027683
2020-03-21,17468256.0,24957353.29479722
2020-03-22,19463146.0,20887552.59372235
2020-03-23,24466536.0,19778523.77262692
2020-03-24,24622860.0,23486452.1654303
2020-03-25,25202458.0,24411161.699118696
2020-03-26,25278404.0,24897539.56228479
2020-03-27,25016316.0,24845825.380925335
2020-03-28,24156920.0,20333605.41751629
2020-03-29,16727299.0,19093782.71295642
2020-03-30,18307026.0,23531548.823248826
2020-03-31,19144460.0,22686968.91572418
2020-04-01,21484516.0,15051883.739712425
2020-04-02,23622256.0,17555216.67875335
2020-04-03,15979216.0,25003442.452751286
2020-04-04,17659782.0,21320831.885048624
2020-04-05,11579288.0,21115325.28294962
2020-04-06,15963156.0,12781060.003780255
2020-04-07,17228526.0,12584052.855753377
2020-04-08,22725070.0,15304165.471150577
2020-04-09,24324466.0,19097003.41448658
2020-04-10,19489298.0,22886953.167959653
2020-04-11,22014226.0,23042021.256458342
2020-04-12,25487738.0,23012448.65021427
2020-04-13,26742332.0,25981642.444893055
