Fecha,et
2020-01-01,1.714925
2020-01-02,2.3010213
2020-01-03,3.2932794
2020-01-04,2.6037762
2020-01-05,2.7475116
2020-01-06,2.7292266
2020-01-07,2.7966998
2020-01-08,2.8455884
2020-01-09,3.190141
2020-01-10,3.2777088
2020-01-11,3.8143733
2020-01-12,2.9622676
2020-01-13,2.9481735
2020-01-14,2.3691404
2020-01-15,2.387571
2020-01-16,2.1303637
2020-01-17,2.5380487
2020-01-18,2.5909061
2020-01-19,2.0095162
2020-01-20,1.7589403
2020-01-21,2.078023
2020-01-22,3.121294
2020-01-23,2.2369056
2020-01-24,2.2678976
2020-01-25,2.0888364
2020-01-26,2.0474756
2020-01-27,3.2817082
2020-01-28,3.5221832
2020-01-29,3.1995597
2020-01-30,2.495477
2020-01-31,2.610882
2020-02-01,2.31552
2020-02-02,2.427682
2020-02-03,2.8030984
2020-02-04,3.573075
2020-02-05,3.545997
2020-02-06,3.4794462
2020-02-07,3.0432484
2020-02-08,2.9406497
2020-02-09,3.8869507
2020-02-10,3.625336
2020-02-11,3.4697587
2020-02-12,3.6936035
2020-02-13,3.0571144
2020-02-14,2.2001653
2020-02-15,3.4722605
2020-02-16,3.5680666
2020-02-17,4.0784826
2020-02-18,3.9912152
2020-02-19,3.5299532
2020-02-20,3.6449997
2020-02-21,2.3769565
2020-02-22,3.4180982
2020-02-23,4.1369495
2020-02-24,4.2507544
2020-02-25,3.557608
2020-02-26,4.3754992
2020-02-27,3.4576557
2020-02-28,3.6599312
2020-02-29,3.700996
2020-03-01,4.2190576
2020-03-02,4.594497
2020-03-03,5.0722446
2020-03-04,4.951448
2020-03-05,3.9928904
2020-03-06,4.239345
2020-03-07,3.9354005
2020-03-08,3.2222266
2020-03-09,4.105511
2020-03-10,3.366094
2020-03-11,4.3223643
2020-03-12,4.5517745
2020-03-13,5.0350184
2020-03-14,4.4636
2020-03-15,3.5453305
2020-03-16,3.5325673
2020-03-17,4.5530834
2020-03-18,4.395901
2020-03-19,5.2849827
2020-03-20,4.120767
2020-03-21,3.8505938
2020-03-22,4.8980126
2020-03-23,5.552261
2020-03-24,5.4852414
2020-03-25,5.74121
2020-03-26,6.0334096
2020-03-27,5.7063184
2020-03-28,5.9020286
2020-03-29,4.1202273
2020-03-30,4.7864037
2020-03-31,4.010464
2020-04-01,4.8967047
2020-04-02,5.749808
2020-04-03,4.023768
2020-04-04,4.3100843
2020-04-05,2.804006
2020-04-06,4.026324
2020-04-07,4.2928805
2020-04-08,5.0509167
2020-04-09,5.4076743
2020-04-10,4.833495
2020-04-11,5.4431515
2020-04-12,7.696556
2020-04-13,6.239375
2020-04-14,6.3272214
2020-04-15,2.0971267
2020-04-16,2.1652937
2020-04-17,5.4777727
2020-04-18,4.408059
2020-04-19,6.1334033
2020-04-20,5.9400716
2020-04-21,6.1383204
2020-04-22,6.323226
2020-04-23,6.849136
2020-04-24,6.0943537
2020-04-25,5.5681543
2020-04-26,3.8115368
2020-04-27,5.466309
2020-04-28,6.1220512
2020-04-29,6.0814204
2020-04-30,4.244653
2020-05-01,6.0635777
2020-05-02,6.194278
2020-05-03,6.113678
2020-05-04,6.102254
2020-05-05,4.894252
2020-05-06,4.8893385
2020-05-07,5.213177
