Fecha,precip
2020-01-01,0.4
2020-01-02,0.63
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.01
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.11
2020-01-15,1.84
2020-01-16,6.73
2020-01-17,3.42
2020-01-18,2.03
2020-01-19,9.24
2020-01-20,0.23
2020-01-21,0.09
2020-01-22,0.08
2020-01-23,0.21
2020-01-24,0.62
2020-01-25,0.74
2020-01-26,1.32
2020-01-27,0.08
2020-01-28,0.14
2020-01-29,0.0
2020-01-30,0.03
2020-01-31,0.06
2020-02-01,0.07
2020-02-02,0.04
2020-02-03,0.02
2020-02-04,0.05
2020-02-05,0.21
2020-02-06,0.43
2020-02-07,0.2
2020-02-08,0.65
2020-02-09,0.01
2020-02-10,0.09
2020-02-11,0.45
2020-02-12,1.59
2020-02-13,3.06
2020-02-14,0.03
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.03
2020-02-18,0.06
2020-02-19,0.19
2020-02-20,0.27
2020-02-21,0.21
2020-02-22,0.02
2020-02-23,0.02
2020-02-24,0.24
2020-02-25,0.43
2020-02-26,0.16
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.06
2020-03-01,0.34
2020-03-02,0.19
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.02
2020-03-08,0.35
2020-03-09,0.05
2020-03-10,0.35
2020-03-11,0.01
2020-03-12,0.01
2020-03-13,0.17
2020-03-14,0.79
2020-03-15,3.11
2020-03-16,0.44
2020-03-17,0.02
2020-03-18,0.04
2020-03-19,0.05
2020-03-20,3.13
2020-03-21,2.23
2020-03-22,0.01
2020-03-23,0.01
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.02
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,1.93
2020-03-30,0.44
2020-03-31,1.91
2020-04-01,0.08
2020-04-02,0.23
2020-04-03,1.54
2020-04-04,0.6
2020-04-05,2.35
2020-04-06,0.38
2020-04-07,0.15
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.73
2020-04-11,0.02
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.44
2020-04-15,4.38
2020-04-16,2.19
2020-04-17,0.04
2020-04-18,0.1
2020-04-19,0.09
2020-04-20,0.0
2020-04-21,0.03
2020-04-22,0.07
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,3.44
2020-04-26,6.5
2020-04-27,3.88
2020-04-28,0.0
2020-04-29,3.42
2020-04-30,1.74
2020-05-01,0.01
2020-05-02,0.05
2020-05-03,0.3
2020-05-04,0.04
2020-05-05,0.76
2020-05-06,7.32
2020-05-07,1.34
2020-05-08,1.29
2020-05-09,0.48
2020-05-10,0.48
2020-05-11,1.32
2020-05-12,0.58
2020-05-13,2.71
2020-05-14,3.02
2020-05-15,3.3
2020-05-16,1.78
2020-05-17,0.64
2020-05-18,0.05
2020-05-19,0.02
2020-05-20,0.22
2020-05-21,0.76
2020-05-22,1.53
2020-05-23,2.52
2020-05-24,2.84
2020-05-25,1.99
2020-05-26,1.67
2020-05-27,0.96
2020-05-28,0.69
2020-05-29,31.98
2020-05-30,1.27
2020-05-31,4.32
2020-06-01,6.69
2020-06-02,0.28
2020-06-03,0.76
2020-06-04,2.62
2020-06-05,0.83
2020-06-06,1.65
2020-06-07,0.73
2020-06-08,0.0
2020-06-09,0.32
2020-06-10,8.91
2020-06-11,6.51
2020-06-12,1.52
2020-06-13,0.41
2020-06-14,0.17
2020-06-15,0.25
2020-06-16,5.89
2020-06-17,1.38
2020-06-18,0.66
2020-06-19,2.49
2020-06-20,1.17
2020-06-21,0.48
2020-06-22,3.26
2020-06-23,4.35
2020-06-24,9.43
2020-06-25,21.36
2020-06-26,12.17
2020-06-27,4.34
2020-06-28,2.26
2020-06-29,2.4
2020-06-30,3.22
2020-07-01,4.07
2020-07-02,2.11
2020-07-03,1.2
2020-07-04,0.37
2020-07-05,0.28
2020-07-06,1.71
2020-07-07,3.03
2020-07-08,6.11
2020-07-09,5.69
2020-07-10,1.66
2020-07-11,0.96
2020-07-12,0.48
2020-07-13,-0.0
2020-07-14,0.12
2020-07-15,1.31
2020-07-16,2.36
2020-07-17,2.5
2020-07-18,1.82
2020-07-19,1.19
2020-07-20,0.56
2020-07-21,0.19
2020-07-22,0.27
2020-07-23,3.57
2020-07-24,0.37
2020-07-25,1.07
2020-07-26,22.17
2020-07-27,53.98
2020-07-28,38.51
2020-07-29,31.28
2020-07-30,2.95
2020-07-31,0.77
2020-08-01,8.96
2020-08-02,10.47
2020-08-03,1.64
2020-08-04,0.35
2020-08-05,0.91
2020-08-06,1.98
2020-08-07,2.58
2020-08-08,7.26
2020-08-09,8.03
2020-08-10,6.41
2020-08-11,2.79
2020-08-12,2.76
2020-08-13,0.99
2020-08-14,0.55
2020-08-15,1.36
2020-08-16,9.64
2020-08-17,7.09
2020-08-18,0.08
2020-08-19,0.55
2020-08-20,0.27
2020-08-21,0.33
2020-08-22,4.19
2020-08-23,3.99
2020-08-24,0.75
2020-08-25,5.49
2020-08-26,0.18
2020-08-27,2.14
2020-08-28,1.17
2020-08-29,1.29
2020-08-30,0.5
2020-08-31,4.69
2020-09-01,3.21
2020-09-02,0.21
2020-09-03,0.98
2020-09-04,8.3
2020-09-05,15.22
2020-09-06,11.98
2020-09-07,1.37
2020-09-08,1.85
2020-09-09,2.39
2020-09-10,7.37
2020-09-11,2.29
2020-09-12,0.15
2020-09-13,0.81
2020-09-14,0.73
2020-09-15,1.27
2020-09-16,3.63
2020-09-17,2.72
2020-09-18,0.03
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,1.11
2020-09-27,0.15
2020-09-28,0.2
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.19
2020-10-03,0.0
2020-10-04,0.02
2020-10-05,-0.0
2020-10-06,-0.0
2020-10-07,-0.0
2020-10-08,-0.0
2020-10-09,-0.0
2020-10-10,-0.0
2020-10-11,0.14
2020-10-12,1.69
2020-10-13,9.63
2020-10-14,0.29
2020-10-15,0.78
2020-10-16,3.11
2020-10-17,0.02
2020-10-18,0.11
2020-10-19,1.18
2020-10-20,0.96
2020-10-21,0.12
2020-10-22,-0.0
2020-10-23,0.0
2020-10-24,0.51
2020-10-25,0.34
2020-10-26,0.64
2020-10-27,0.31
2020-10-28,0.15
2020-10-29,0.0
2020-10-30,-0.0
2020-10-31,-0.0
2020-11-01,0.0
2020-11-02,0.01
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.02
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.01
2020-11-09,0.2
2020-11-10,0.3
2020-11-11,0.1
2020-11-12,0.01
2020-11-13,0.11
2020-11-14,0.02
2020-11-15,1.91
2020-11-16,3.55
2020-11-17,0.16
2020-11-18,0.09
2020-11-19,0.01
2020-11-20,0.0
2020-11-21,1.83
2020-11-22,0.53
2020-11-23,0.56
2020-11-24,0.0
2020-11-25,0.07
2020-11-26,0.04
2020-11-27,0.13
2020-11-28,0.98
2020-11-29,2.0
2020-11-30,0.02
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.01
2020-12-04,0.13
2020-12-05,0.99
2020-12-06,0.14
2020-12-07,-0.0
2020-12-08,-0.0
2020-12-09,-0.0
2020-12-10,-0.0
2020-12-11,-0.0
2020-12-12,0.0
2020-12-13,0.02
2020-12-14,-0.0
2020-12-15,-0.0
2020-12-16,-0.0
2020-12-17,0.0
2020-12-18,-0.0
2020-12-19,0.0
2020-12-20,0.01
2020-12-21,0.01
2020-12-22,0.61
2020-12-23,0.03
2020-12-24,0.01
2020-12-25,-0.0
2020-12-26,-0.0
2020-12-27,0.0
2020-12-28,0.17
2020-12-29,0.06
2020-12-30,0.0
2020-12-31,0.13
2021-01-01,1.0
2021-01-02,2.49
2021-01-03,-0.0
2021-01-04,0.0
2021-01-05,0.13
2021-01-06,0.02
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,2.45
2021-01-10,0.85
2021-01-11,1.17
2021-01-12,0.47
2021-01-13,0.25
2021-01-14,-0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.02
2021-01-18,0.46
2021-01-19,0.9
2021-01-20,13.96
2021-01-21,0.28
2021-01-22,0.46
2021-01-23,0.3
2021-01-24,0.63
2021-01-25,0.34
2021-01-26,0.0
2021-01-27,0.01
2021-01-28,0.0
2021-01-29,0.1
2021-01-30,0.28
2021-01-31,0.36
2021-02-01,0.01
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.04
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,-0.0
2021-02-08,0.01
2021-02-09,0.27
2021-02-10,0.07
2021-02-11,3.81
2021-02-12,3.74
2021-02-13,0.28
2021-02-14,1.03
2021-02-15,0.5
2021-02-16,0.35
2021-02-17,0.01
2021-02-18,0.22
2021-02-19,0.05
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.21
2021-02-23,0.03
2021-02-24,0.0
2021-02-25,0.14
2021-02-26,0.12
2021-02-27,0.46
2021-02-28,0.49
2021-03-01,1.16
2021-03-02,0.24
2021-03-03,0.0
2021-03-04,0.06
2021-03-05,0.26
2021-03-06,0.01
2021-03-07,0.15
2021-03-08,0.55
2021-03-09,0.27
2021-03-10,0.06
2021-03-11,0.32
2021-03-12,2.6
2021-03-13,3.53
2021-03-14,0.39
2021-03-15,0.21
2021-03-16,0.02
2021-03-17,0.01
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.0
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.13
2021-03-29,0.04
2021-03-30,0.0
2021-03-31,0.55
2021-04-01,0.92
2021-04-02,0.03
2021-04-03,0.04
2021-04-04,0.16
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.11
2021-04-08,0.01
2021-04-09,0.05
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,0.04
2021-04-14,0.01
2021-04-15,0.45
2021-04-16,0.03
2021-04-17,0.72
2021-04-18,1.42
2021-04-19,0.19
2021-04-20,0.35
2021-04-21,0.52
2021-04-22,0.33
2021-04-23,0.41
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.05
2021-04-27,0.5
2021-04-28,0.03
2021-04-29,0.04
2021-04-30,0.09
2021-05-01,4.33
2021-05-02,0.45
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.65
2021-05-06,1.83
2021-05-07,1.34
2021-05-08,0.23
2021-05-09,0.01
2021-05-10,0.59
2021-05-11,4.92
2021-05-12,30.28
2021-05-13,0.83
2021-05-14,0.48
2021-05-15,0.97
2021-05-16,0.46
2021-05-17,0.05
2021-05-18,1.18
2021-05-19,0.37
2021-05-20,0.01
2021-05-21,0.91
2021-05-22,2.88
2021-05-23,0.83
2021-05-24,0.63
2021-05-25,1.12
2021-05-26,1.76
2021-05-27,0.51
2021-05-28,0.1
2021-05-29,5.24
2021-05-30,11.82
2021-05-31,1.82
2021-06-01,2.51
2021-06-02,7.92
2021-06-03,12.02
2021-06-04,1.72
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.25
2021-06-08,2.05
2021-06-09,1.45
2021-06-10,5.32
2021-06-11,4.82
2021-06-12,4.58
2021-06-13,15.86
2021-06-14,0.57
2021-06-15,1.1
2021-06-16,2.21
2021-06-17,1.38
2021-06-18,0.91
2021-06-19,3.71
2021-06-20,0.07
2021-06-21,0.16
2021-06-22,13.44
2021-06-23,3.9
2021-06-24,5.43
2021-06-25,4.3
2021-06-26,2.33
2021-06-27,11.55
2021-06-28,9.97
2021-06-29,9.8
2021-06-30,20.33
2021-07-01,4.91
2021-07-02,12.33
2021-07-03,7.35
2021-07-04,1.21
