Fecha,Precipitation
2022-02-01,0.0
2022-02-02,0.04
2022-02-03,0.1
2022-02-04,0.06
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,3.92
2022-02-08,1.25
2022-02-09,0.03
2022-02-10,0.57
2022-02-11,0.16
2022-02-12,0.14
2022-02-13,0.0
2022-02-14,0.97
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,-0.0
2022-02-22,0.0
2022-02-23,0.11
2022-02-24,0.37
2022-02-25,2.72
2022-02-26,0.01
2022-02-27,0.59
2022-02-28,0.01
2022-03-01,0.0
2022-03-02,0.21
2022-03-03,1.22
2022-03-04,0.78
2022-03-05,0.0
2022-03-06,0.12
2022-03-07,0.08
2022-03-08,0.03
2022-03-09,0.89
2022-03-10,0.01
2022-03-11,0.04
2022-03-12,0.02
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,-0.0
2022-03-17,0.03
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.03
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,-0.0
2022-03-24,-0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.08
2022-04-03,0.01
2022-04-04,0.0
2022-04-05,0.12
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.26
2022-04-09,0.11
2022-04-10,0.0
2022-04-11,0.04
2022-04-12,0.13
2022-04-13,0.0
2022-04-14,0.01
2022-04-15,0.08
2022-04-16,0.01
2022-04-17,0.01
2022-04-18,0.6
2022-04-19,0.5
2022-04-20,0.16
2022-04-21,6.55
2022-04-22,3.64
2022-04-23,0.3
2022-04-24,0.43
2022-04-25,3.98
2022-04-26,28.98
2022-04-27,0.71
2022-04-28,0.13
2022-04-29,0.13
2022-04-30,0.23
2022-05-01,3.1
2022-05-02,1.89
2022-05-03,0.41
2022-05-04,1.39
2022-05-05,0.31
2022-05-06,0.37
2022-05-07,0.04
2022-05-08,0.02
2022-05-09,0.04
2022-05-10,2.04
2022-05-11,1.51
2022-05-12,0.55
2022-05-13,0.3
2022-05-14,0.14
2022-05-15,0.0
2022-05-16,0.01
2022-05-17,-0.0
2022-05-18,0.01
2022-05-19,0.33
2022-05-20,0.14
2022-05-21,0.02
2022-05-22,0.2
2022-05-23,4.7
2022-05-24,1.29
2022-05-25,1.59
2022-05-26,0.99
2022-05-27,0.64
2022-05-28,0.59
2022-05-29,0.82
2022-05-30,0.42
2022-05-31,2.97
2022-06-01,4.49
2022-06-02,1.72
2022-06-03,0.38
2022-06-04,0.01
2022-06-05,-0.0
2022-06-06,0.0
2022-06-07,0.22
2022-06-08,1.4
2022-06-09,6.73
2022-06-10,0.23
2022-06-11,0.38
2022-06-12,3.58
2022-06-13,6.41
2022-06-14,6.55
2022-06-15,9.24
2022-06-16,4.5
2022-06-17,1.26
2022-06-18,9.33
2022-06-19,0.64
2022-06-20,1.9
2022-06-21,17.8
2022-06-22,21.0
2022-06-23,0.55
2022-06-24,1.1
2022-06-25,1.56
2022-06-26,0.78
2022-06-27,9.05
2022-06-28,4.13
2022-06-29,6.25
2022-06-30,0.32
2022-07-01,0.22
2022-07-02,1.96
2022-07-03,1.51
2022-07-04,2.48
2022-07-05,1.5
2022-07-06,0.51
2022-07-07,1.42
2022-07-08,1.0
2022-07-09,0.4
2022-07-10,0.06
2022-07-11,0.68
2022-07-12,2.3
2022-07-13,7.62
2022-07-14,4.98
2022-07-15,4.15
2022-07-16,1.63
2022-07-17,1.83
2022-07-18,0.95
2022-07-19,0.0
2022-07-20,0.12
2022-07-21,0.1
2022-07-22,3.07
2022-07-23,4.21
2022-07-24,3.06
2022-07-25,3.12
2022-07-26,0.93
2022-07-27,6.55
2022-07-28,15.65
2022-07-29,5.98
2022-07-30,2.67
2022-07-31,4.96
2022-08-01,8.42
2022-08-02,1.79
2022-08-03,0.4
2022-08-04,0.64
2022-08-05,2.19
2022-08-06,1.97
2022-08-07,1.19
2022-08-08,1.45
2022-08-09,0.6
2022-08-10,0.73
2022-08-11,0.91
2022-08-12,2.07
2022-08-13,14.59
2022-08-14,3.72
2022-08-15,18.87
2022-08-16,5.28
2022-08-17,4.58
2022-08-18,2.82
2022-08-19,1.59
2022-08-20,0.6
2022-08-21,1.38
2022-08-22,0.83
2022-08-23,0.26
2022-08-24,0.43
2022-08-25,0.69
2022-08-26,2.46
2022-08-27,1.4
2022-08-28,0.65
2022-08-29,3.05
2022-08-30,1.85
2022-08-31,11.2
2022-09-01,10.76
2022-09-02,9.63
2022-09-03,13.14
2022-09-04,13.13
2022-09-05,16.44
2022-09-06,11.15
2022-09-07,8.72
2022-09-08,0.23
2022-09-09,0.07
2022-09-10,9.36
2022-09-11,3.58
2022-09-12,0.27
2022-09-13,0.33
2022-09-14,1.33
2022-09-15,12.24
2022-09-16,4.56
2022-09-17,5.05
2022-09-18,5.37
2022-09-19,4.02
2022-09-20,5.93
2022-09-21,0.88
2022-09-22,2.1
2022-09-23,0.04
2022-09-24,0.21
2022-09-25,5.89
2022-09-26,8.1
2022-09-27,0.28
2022-09-28,0.24
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.04
2022-10-03,0.14
