Fecha,Precipitation,Dia
2022-05-18,0.01,0
2022-05-19,0.33,1
2022-05-20,0.14,2
2022-05-21,0.02,3
2022-05-22,0.2,4
2022-05-23,4.7,5
2022-05-24,1.29,6
2022-05-25,1.59,7
2022-05-26,0.99,8
2022-05-27,0.64,9
2022-05-28,0.59,10
2022-05-29,0.82,11
2022-05-30,0.42,12
2022-05-31,2.97,13
2022-06-01,4.49,14
2022-06-02,1.72,15
2022-06-03,0.38,16
2022-06-04,0.01,17
2022-06-05,-0.0,18
2022-06-06,0.0,19
2022-06-07,0.22,20
2022-06-08,1.4,21
2022-06-09,6.73,22
2022-06-10,0.23,23
2022-06-11,0.38,24
2022-06-12,3.58,25
2022-06-13,6.41,26
2022-06-14,6.55,27
2022-06-15,9.24,28
2022-06-16,4.5,29
2022-06-17,1.26,30
2022-06-18,9.33,31
2022-06-19,0.64,32
2022-06-20,1.9,33
2022-06-21,17.8,34
2022-06-22,21.0,35
2022-06-23,0.55,36
2022-06-24,1.1,37
2022-06-25,1.56,38
2022-06-26,0.78,39
2022-06-27,9.05,40
2022-06-28,4.13,41
2022-06-29,6.25,42
2022-06-30,0.32,43
2022-07-01,0.22,44
2022-07-02,1.96,45
2022-07-03,1.51,46
2022-07-04,2.48,47
2022-07-05,1.5,48
2022-07-06,0.51,49
2022-07-07,1.42,50
2022-07-08,1.0,51
2022-07-09,0.4,52
2022-07-10,0.06,53
2022-07-11,0.68,54
2022-07-12,2.3,55
2022-07-13,7.62,56
2022-07-14,4.98,57
2022-07-15,4.15,58
2022-07-16,1.63,59
2022-07-17,1.83,60
2022-07-18,0.95,61
2022-07-19,0.0,62
2022-07-20,0.12,63
2022-07-21,0.1,64
2022-07-22,3.07,65
2022-07-23,4.21,66
2022-07-24,3.06,67
2022-07-25,3.12,68
2022-07-26,0.93,69
2022-07-27,6.55,70
2022-07-28,15.65,71
2022-07-29,5.98,72
2022-07-30,2.67,73
2022-07-31,4.96,74
2022-08-01,8.42,75
2022-08-02,1.79,76
2022-08-03,0.4,77
2022-08-04,0.64,78
2022-08-05,2.19,79
2022-08-06,1.97,80
2022-08-07,1.19,81
2022-08-08,1.45,82
2022-08-09,0.6,83
2022-08-10,0.73,84
2022-08-11,0.91,85
2022-08-12,2.07,86
2022-08-13,14.59,87
2022-08-14,3.72,88
2022-08-15,18.87,89
2022-08-16,5.28,90
2022-08-17,4.58,91
2022-08-18,2.82,92
2022-08-19,1.59,93
2022-08-20,0.6,94
2022-08-21,1.38,95
2022-08-22,0.83,96
2022-08-23,0.26,97
2022-08-24,0.43,98
2022-08-25,0.69,99
2022-08-26,2.46,100
2022-08-27,1.4,101
2022-08-28,0.65,102
2022-08-29,3.05,103
2022-08-30,1.85,104
2022-08-31,11.2,105
2022-09-01,10.76,106
2022-09-02,9.63,107
2022-09-03,13.14,108
2022-09-04,13.13,109
2022-09-05,16.44,110
2022-09-06,11.15,111
2022-09-07,8.72,112
2022-09-08,0.23,113
2022-09-09,0.07,114
2022-09-10,9.36,115
2022-09-11,3.58,116
2022-09-12,0.27,117
2022-09-13,0.33,118
2022-09-14,1.33,119
2022-09-15,12.24,120
2022-09-16,4.56,121
2022-09-17,5.05,122
2022-09-18,5.37,123
2022-09-19,4.02,124
2022-09-20,5.93,125
2022-09-21,0.88,126
2022-09-22,2.1,127
2022-09-23,0.04,128
2022-09-24,0.21,129
2022-09-25,5.89,130
2022-09-26,8.1,131
2022-09-27,0.28,132
2022-09-28,0.24,133
2022-09-29,0.0,134
2022-09-30,0.0,135
2022-10-01,0.0,136
2022-10-02,0.04,137
2022-10-03,0.14,138
2022-10-04,0.2,139
2022-10-05,0.12,140
2022-10-06,6.75,141
2022-10-07,0.2,142
2022-10-08,0.31,143
2022-10-09,0.86,144
2022-10-10,2.65,145
2022-10-11,0.0,146
2022-10-12,0.0,147
2022-10-13,0.0,148
2022-10-14,1.4,149
2022-10-15,0.93,150
2022-10-16,0.47,151
2022-10-17,3.23,152
2022-10-18,30.66,153
2022-10-19,0.14,154
2022-10-20,0.0,155
2022-10-21,0.06,156
2022-10-22,0.49,157
2022-10-23,0.03,158
2022-10-24,0.19,159
2022-10-25,0.48,160
2022-10-26,-0.0,161
2022-10-27,0.2,162
2022-10-28,0.24,163
2022-10-29,0.0,164
2022-10-30,0.09,165
2022-10-31,0.82,166
2022-11-01,2.07,167
2022-11-02,1.0,168
2022-11-03,1.34,169
2022-11-04,0.01,170
2022-11-05,0.18,171
2022-11-06,0.0,172
2022-11-07,5.61,173
2022-11-08,1.95,174
2022-11-09,1.03,175
2022-11-10,0.15,176
2022-11-11,0.1,177
2022-11-12,0.21,178
2022-11-13,0.01,179
2022-11-14,-0.0,180
2022-11-15,0.03,181
2022-11-16,0.36,182
2022-11-17,3.11,183
2022-11-18,0.37,184
2022-11-19,0.07,185
2022-11-20,2.21,186
2022-11-21,6.36,187
2022-11-22,1.82,188
2022-11-23,0.0,189
2022-11-24,0.0,190
2022-11-25,0.65,191
2022-11-26,1.53,192
2022-11-27,0.05,193
2022-11-28,0.07,194
2022-11-29,0.0,195
2022-11-30,5.58,196
2022-12-01,10.52,197
2022-12-02,0.0,198
2022-12-03,1.0,199
2022-12-04,0.85,200
2022-12-05,0.02,201
2022-12-06,0.12,202
2022-12-07,0.74,203
2022-12-08,0.1,204
2022-12-09,0.11,205
2022-12-10,0.03,206
2022-12-11,0.01,207
2022-12-12,0.02,208
2022-12-13,0.23,209
2022-12-14,0.08,210
2022-12-15,0.0,211
2022-12-16,0.27,212
2022-12-17,0.17,213
2022-12-18,0.15,214
2022-12-19,0.02,215
2022-12-20,0.28,216
2022-12-21,-0.0,217
2022-12-22,0.0,218
2022-12-23,0.39,219
2022-12-24,0.19,220
2022-12-25,0.09,221
2022-12-26,-0.0,222
2022-12-27,0.0,223
2022-12-28,0.0,224
2022-12-29,0.02,225
2022-12-30,0.0,226
2022-12-31,0.11,227
2023-01-01,-0.0,228
2023-01-02,0.08,229
2023-01-03,0.0,230
2023-01-04,0.0,231
2023-01-05,0.0,232
2023-01-06,0.0,233
2023-01-07,0.0,234
2023-01-08,0.41,235
2023-01-09,0.13,236
2023-01-10,0.01,237
2023-01-11,0.0,238
2023-01-12,0.05,239
2023-01-13,-0.0,240
2023-01-14,-0.0,241
2023-01-15,0.0,242
2023-01-16,0.05,243
2023-01-17,0.0,244
2023-01-18,0.42,245
2023-01-19,0.0,246
2023-01-20,0.0,247
2023-01-21,0.0,248
2023-01-22,1.37,249
2023-01-23,1.71,250
2023-01-24,0.05,251
2023-01-25,0.02,252
2023-01-26,0.01,253
2023-01-27,0.07,254
2023-01-28,0.0,255
2023-01-29,0.0,256
2023-01-30,1.33,257
2023-01-31,1.23,258
2023-02-01,4.2,259
2023-02-02,2.01,260
2023-02-03,0.0,261
2023-02-04,0.0,262
2023-02-05,0.0,263
2023-02-06,0.28,264
2023-02-07,0.36,265
2023-02-08,1.26,266
2023-02-09,0.04,267
2023-02-10,0.85,268
2023-02-11,0.0,269
2023-02-12,0.0,270
2023-02-13,0.0,271
2023-02-14,0.04,272
2023-02-15,0.02,273
2023-02-16,0.0,274
2023-02-17,0.0,275
2023-02-18,0.0,276
2023-02-19,-0.0,277
2023-02-20,-0.0,278
2023-02-21,0.04,279
2023-02-22,0.19,280
2023-02-23,-0.0,281
2023-02-24,0.4,282
2023-02-25,1.34,283
2023-02-26,0.75,284
2023-02-27,0.08,285
2023-02-28,0.0,286
2023-03-01,0.0,287
2023-03-02,0.0,288
2023-03-03,-0.0,289
2023-03-04,0.0,290
2023-03-05,0.0,291
2023-03-06,0.01,292
2023-03-07,0.1,293
2023-03-08,0.17,294
2023-03-09,0.12,295
2023-03-10,0.05,296
2023-03-11,0.01,297
2023-03-12,0.02,298
2023-03-13,3.69,299
2023-03-14,4.49,300
2023-03-15,0.98,301
2023-03-16,0.19,302
2023-03-17,0.07,303
2023-03-18,0.01,304
2023-03-19,1.22,305
2023-03-20,1.22,306
2023-03-21,0.04,307
2023-03-22,0.65,308
2023-03-23,0.43,309
2023-03-24,0.14,310
2023-03-25,0.02,311
2023-03-26,0.0,312
2023-03-27,0.0,313
2023-03-28,2.32,314
2023-03-29,0.36,315
2023-03-30,0.05,316
2023-03-31,0.0,317
2023-04-01,0.08,318
2023-04-02,0.21,319
2023-04-03,0.0,320
2023-04-04,0.21,321
2023-04-05,0.58,322
2023-04-06,1.78,323
2023-04-07,9.42,324
2023-04-08,0.29,325
2023-04-09,0.8,326
2023-04-10,16.56,327
2023-04-11,6.36,328
2023-04-12,0.0,329
2023-04-13,0.04,330
2023-04-14,0.11,331
2023-04-15,0.22,332
2023-04-16,1.04,333
2023-04-17,1.62,334
2023-04-18,0.22,335
2023-04-19,1.24,336
2023-04-20,0.47,337
2023-04-21,1.4,338
2023-04-22,1.65,339
2023-04-23,0.32,340
2023-04-24,0.33,341
2023-04-25,0.0,342
2023-04-26,0.02,343
2023-04-27,1.7,344
2023-04-28,0.15,345
2023-04-29,0.12,346
2023-04-30,-0.0,347
2023-05-01,-0.0,348
