parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.9462811938702899,1.0396701337,2.1998138246742123,1.5270857154000002,2022-09-08,2022-10-01,0.140215015740321,-0.2441728637999999,2022-04-13,2022-04-06,2023-03-02,2023-03-02,323,330
10,1.5626394028912438,1.78172892095,2.900219770314193,2.5858456834,2022-09-13,2022-09-14,0.190054865900899,-0.4064349283,2022-03-10,2022-02-15,2023-02-15,2023-02-15,342,365
11,1.6875305517096186,1.88613820345,3.123244635969993,2.7319613357,2022-10-13,2022-09-12,0.1839753005659328,-0.3841054587999999,2022-03-08,2022-03-07,2023-02-15,2023-02-15,344,345
13,0.8999939004678005,1.02690625375,1.4324339054290376,1.3487218845,2022-11-27,2022-11-07,0.1210666981161129,0.069395194,2022-04-18,2022-05-01,2023-02-15,2023-02-15,303,290
14,1.1180168710189966,1.3308196804,2.9418957981577565,1.895898854,2022-10-13,2022-11-06,0.1302969082671967,-0.3553665196,2022-04-04,2022-04-06,2023-03-12,2023-03-12,342,340
15,1.2687408429419027,1.4926854698333336,2.562892398551171,2.0395822439000004,2022-11-27,2022-11-28,0.1738378070143807,-0.1362766675,2022-05-23,2022-05-16,2023-03-07,2023-03-07,288,295
16,0.803474766003975,0.8912230274666667,1.389589943581682,1.164440696,2022-11-27,2022-11-10,0.1772617740380699,0.1585653848,2022-05-15,2022-05-21,2023-03-27,2023-03-27,316,310
2,1.260746664252596,1.6155303169666668,2.7176675530809824,2.2300227026999995,2022-10-13,2022-11-06,0.2023379583855251,-0.1741226156999999,2022-05-17,2022-05-01,2023-03-02,2023-03-02,289,305
3,1.0819322104647175,1.2442699943,2.036705883198091,1.6482823350999998,2022-09-13,2022-09-25,0.3594737427660063,0.1149573868,2022-03-08,2022-03-17,2023-02-15,2023-02-15,344,335
4,1.3217770068522916,1.5247764448499999,2.785104461847506,2.2829568271,2022-10-13,2023-01-06,0.1671127857463399,-0.2134323813999999,2022-04-12,2022-04-11,2023-02-05,2023-02-05,299,300
5,1.324549175928903,1.5451610533000004,2.6980905090989395,2.2607091228,2022-10-13,2022-10-23,0.0912914211987922,-0.2081761252,2022-04-10,2022-04-11,2023-04-21,2023-04-21,376,375
6,1.327378841396268,1.5362928143499999,2.621129452968004,2.1959588177,2022-10-13,2022-11-26,0.2363807477111551,-0.1028874754,2022-06-03,2022-05-21,2023-05-01,2023-05-01,332,345
7,1.6155810008821563,1.7925693138666667,3.293242187057001,2.6522001386000005,2022-10-13,2022-09-22,0.2076566387211953,-0.7002632458,2022-03-06,2022-02-15,2023-02-15,2023-02-15,346,365
8,1.3217589168309365,1.5071299676,2.9673158650437044,2.2020109542999995,2022-10-13,2022-11-20,0.2046867887141806,-0.1030390018999999,2022-06-03,2022-05-21,2023-05-01,2023-05-01,332,345
9,1.3104632112750727,1.49886251435,2.6190226905521627,2.2551884611,2022-11-27,2022-11-23,0.1710497281826544,-0.3109218508999999,2022-06-10,2022-06-05,2023-05-01,2023-05-01,325,330
