parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.2982747960489693,0.3210277643999999,0.5131458379422327,0.4275598631,2022-09-08,2022-10-07,0.0703635298501345,0.0278947318999999,2022-05-07,2023-02-15,2023-03-02,2023-03-02,299,15
10,0.4065072077494369,0.44417548189999984,0.5875587677984461,0.5789106443999998,2022-10-13,2022-09-23,0.1094465554679303,0.0605684024,2022-03-19,2022-03-27,2023-02-15,2023-02-15,333,325
11,0.4217877902298314,0.4556267327500001,0.6046292719831354,0.5956966976000001,2022-10-13,2022-09-19,0.1039814238515264,0.063041,2022-03-17,2022-03-22,2023-02-15,2023-02-15,335,330
13,0.2937164296394488,0.32673406575,0.4243119166212238,0.4119276416999999,2022-11-27,2022-11-16,0.0760398973325116,0.0766140224999999,2022-05-22,2022-06-30,2023-02-15,2023-02-15,269,230
14,0.31422801827792046,0.36535006904999995,0.5948929385805605,0.4848140103,2022-11-27,2022-11-17,0.0755068024519522,0.0108006003,2022-04-30,2022-05-11,2023-03-12,2023-03-12,316,305
15,0.35880337333491585,0.4034096627333333,0.5647431111567013,0.5197748703999998,2022-11-27,2022-11-29,0.0783124155562092,0.0570423094,2022-06-10,2022-06-10,2023-03-07,2023-03-07,270,270
16,0.2808026081501648,0.3045876004333334,0.4192472194172911,0.3799245903,2022-11-27,2022-11-19,0.0832466898811124,0.0913303311,2022-06-21,2022-06-10,2023-03-27,2023-03-27,279,290
2,0.34633768693978223,0.4201102132999999,0.567933539099485,0.5450876631999998,2022-10-13,2022-11-15,0.0826765604456398,0.0486905158,2022-06-03,2022-06-20,2023-03-02,2023-03-02,272,255
3,0.3323819474153916,0.3671813489333334,0.4952198110769009,0.4506676276,2022-09-13,2022-10-03,0.1598285550304745,0.1251743331,2022-03-29,2022-04-11,2023-02-15,2023-02-15,323,310
4,0.36014821197731317,0.39567894574999996,0.5683950146002585,0.5329992776999999,2022-10-13,2022-12-23,0.1253362339321266,0.059886687,2022-05-02,2022-05-21,2023-02-05,2023-02-05,279,260
5,0.36622561618476906,0.4108547425166668,0.5673917954532689,0.5460087351000001,2022-10-13,2022-11-02,0.0649434491273419,0.0513629976,2022-04-28,2022-05-11,2023-04-21,2023-04-21,358,345
6,0.3699191504270521,0.40853258364999995,0.5706268550296419,0.5317152713,2022-11-27,2022-12-06,0.1043327909369614,0.0745587204,2022-06-20,2022-06-25,2023-05-01,2023-05-01,315,310
7,0.4059706171743628,0.43580162023333335,0.6178772209572809,0.5816532423,2022-10-13,2022-10-04,0.117405386430482,0.0023053089,2022-03-19,2022-04-11,2023-02-15,2023-02-15,333,310
8,0.36636682206535764,0.4008198606999999,0.5914115543745876,0.5279887833,2022-11-27,2022-11-30,0.1023810009553813,0.0713868357,2022-06-20,2022-06-25,2023-05-01,2023-05-01,315,310
9,0.36612837228546524,0.40279760405,0.5692994621692675,0.5412418210999999,2022-11-27,2022-12-03,0.0856588110783892,0.0372588283,2022-06-25,2022-06-30,2023-05-01,2023-05-01,310,305
