parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.23268256053876282,0.25717512426666667,0.4582190567045942,0.368123682,2022-09-08,2022-10-04,0.0201532465227293,-0.0424367873999999,2023-02-10,2022-06-30,2023-03-02,2023-03-02,20,245
10,0.3304780931827878,0.36583675325,0.5068347614780842,0.4991195364000001,2022-09-13,2022-09-22,0.0386845525695647,-0.0127342935,2022-04-08,2022-04-11,2023-02-15,2023-02-15,313,310
11,0.3454934538089083,0.3768201187833333,0.5189106443520016,0.5113111201000001,2022-10-13,2022-09-19,0.0349671997311963,0.0007714897,2022-04-04,2022-04-11,2023-02-15,2023-02-15,317,310
13,0.24294768288996324,0.27340288009999997,0.3584332412671763,0.3558612817999999,2022-11-27,2022-11-04,0.0231844992450121,0.0276174206,2022-06-11,2023-02-15,2023-02-15,2023-02-15,249,0
14,0.24976515618343323,0.29926022555000004,0.5132348036832213,0.4132874718,2022-11-27,2022-11-10,0.0251726958051609,-0.0409025557,2022-05-21,2022-06-10,2023-03-12,2023-03-12,295,275
15,0.29874684740633745,0.33972434893333336,0.4918771435411984,0.4497215014,2022-11-27,2022-11-25,0.0343123710184954,0.0118836716,2022-06-25,2022-06-25,2023-03-07,2023-03-07,255,255
16,0.22236191020147986,0.24557934303333326,0.3520369260889792,0.3176156078999999,2022-11-27,2022-11-13,0.0361740039050294,0.0485303937,2023-03-16,2023-03-27,2023-03-27,2023-03-27,11,0
2,0.28678679137667706,0.35509455028333337,0.4922502386867048,0.4731859887000001,2022-11-27,2022-11-12,0.0514187128058475,0.0057329052,2022-06-16,2022-07-05,2023-03-02,2023-03-02,259,240
3,0.2718430614623688,0.3046661365,0.4271257929059627,0.3879977081,2022-09-13,2022-09-29,0.1017958946173687,0.067533419,2022-04-21,2023-02-15,2023-02-15,2023-02-15,300,0
4,0.30036522344219824,0.33225559609999994,0.4870302208473673,0.4569679956999999,2022-10-28,2022-11-26,0.0327288613601744,-0.0101887789,2022-05-22,2022-05-31,2023-02-05,2023-02-05,259,250
5,0.2957523760372584,0.33852426424999993,0.4812340053674659,0.4713631517999999,2022-09-13,2022-10-30,-0.0148327826863669,-0.007400916,2022-05-16,2022-06-05,2023-04-21,2023-04-21,340,320
6,0.3027448033050192,0.33766674909999994,0.4905855292476741,0.4537377939,2022-11-27,2022-12-04,0.0545729230700118,0.0268820551,2022-07-06,2022-07-20,2023-05-01,2023-05-01,299,285
7,0.3310379119175693,0.3588689925999999,0.5309834072592234,0.4999610426,2022-10-13,2022-10-02,0.0427862994519016,-0.0594938693999999,2022-04-07,2022-05-01,2023-02-15,2023-02-15,314,290
8,0.297714439285867,0.32864978260000005,0.5075383500910957,0.4464650021999999,2022-11-27,2022-11-28,0.0492664028787763,0.0291619756,2023-04-24,2022-07-10,2023-05-01,2023-05-01,7,295
9,0.3005194687719187,0.33237605545000004,0.4859793580268591,0.4601426509,2022-11-27,2022-11-30,0.0398833055884562,0.0026672432,2023-04-24,2022-07-20,2023-05-01,2023-05-01,7,285
