parcela,real_mean,model_mean,real_max,model_max,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.4383908834135655,0.48676583405000007,0.7513109593211171,0.6475562421000002,2022-09-08,2022-10-26,0.117103123689527,0.0837986168,2022-04-11,2022-03-22,2023-04-26,2023-04-26,380,400
10,0.5710618705973354,0.6111646177,0.7929757906044193,0.7753191373,2022-08-09,2022-10-14,0.1962843919756766,0.1213733837,2022-02-16,2022-02-15,2023-02-15,2023-02-15,364,365
11,0.5870807550703698,0.61921769055,0.8017410089394836,0.7810784407999998,2022-08-09,2022-10-01,0.1866666266544303,0.1428424643,2022-02-12,2022-03-07,2023-02-20,2023-02-20,373,350
13,0.4563889104921428,0.5237039203333334,0.6684949304121598,0.6702712280000002,2022-11-27,2022-11-13,0.110004945302047,0.092242667,2022-04-24,2022-05-01,2023-02-15,2023-02-15,297,290
14,0.47135451905681913,0.53973553405,0.8113900771390815,0.702577271,2022-11-27,2022-11-20,0.1496334926025833,0.0583353903,2022-04-02,2022-04-16,2023-03-12,2023-03-12,344,330
15,0.5140110826843847,0.5937110878000001,0.7846497405218946,0.7654490380000001,2022-11-27,2022-11-26,0.0446198144466621,0.0820240957999999,2022-05-20,2022-05-16,2023-03-07,2023-03-07,291,295
16,0.44877848075754834,0.48419047939999993,0.6534711412510136,0.6129388158,2022-11-27,2022-11-16,0.1516201680382365,0.1180181344,2022-05-19,2022-05-26,2023-03-27,2023-03-27,312,305
2,0.5133643984673745,0.6126826387333333,0.7964600398716694,0.7789466763999999,2022-11-27,2022-11-22,0.155936845365818,0.1172799024,2022-05-15,2022-05-16,2023-03-02,2023-03-02,291,290
3,0.5141072758117734,0.5632024659666667,0.7135244994267321,0.6760044499000001,2022-11-27,2022-10-12,0.2669537347930359,0.2290512243,2022-03-02,2022-03-07,2023-02-15,2023-02-15,350,345
4,0.5212480316039447,0.5759748511,0.7833660689461757,0.7475554876,2022-11-27,2022-11-27,0.1143555183868959,0.1066313986,2022-04-06,2022-03-17,2023-02-05,2023-02-05,305,325
5,0.5338108831053576,0.59646082515,0.7793373337052185,0.7727653633999999,2022-11-27,2022-11-07,0.1218174790330882,0.1113944063999999,2022-04-07,2022-04-11,2023-04-21,2023-04-21,379,375
6,0.5135566398885266,0.5994283658666666,0.794706853435986,0.7649040416000001,2022-11-27,2022-12-09,0.1513017362812709,0.1361263892,2022-05-27,2022-05-21,2023-05-01,2023-05-01,339,345
7,0.5767494412294484,0.6136784944333333,0.811294551840716,0.7961441643,2022-10-13,2022-10-16,0.2004522551073459,0.0698638700999999,2022-02-25,2022-02-15,2023-02-15,2023-02-15,355,365
8,0.5342065193325123,0.5980160353499999,0.8121519280253502,0.7695490975,2022-11-27,2022-12-06,0.1831007335618292,0.1342744126,2022-06-01,2022-05-26,2023-05-01,2023-05-01,334,340
9,0.5302565543917825,0.59626872825,0.7880075420402987,0.7738811727000001,2022-11-27,2022-12-08,0.1169491609464652,0.108817659,2022-06-05,2022-06-05,2023-05-01,2023-05-01,330,330
