parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.3556869786116289,0.37457653080000003,0.7326216233642642,0.9111476118,2024-02-20,2024-04-10,0.1316072996616186,0.1948103286,2023-06-28,2023-05-11,2024-04-10,2024-04-10,287,335
10,0.6265898239220676,0.6412912757333332,0.7872441555811153,0.7940925933999999,2023-12-17,2023-10-22,0.1648359542283125,0.1983434523999999,2023-03-03,2023-03-12,2024-03-16,2024-03-16,379,370
11,0.6333934481642449,0.6443836641000001,0.801863587481576,0.8083343841000001,2023-10-18,2023-10-19,0.162275087744628,0.1732442361,2023-03-07,2023-03-17,2024-03-16,2024-03-16,375,365
13,0.5505607085915815,0.5612758507666668,0.7222827283793458,0.7056171002999999,2023-10-18,2023-10-19,0.1422334833396926,0.1840667556,2023-03-06,2023-03-17,2024-04-15,2024-04-15,406,395
14,0.397033113586845,0.3986315083666667,0.8199913125276789,0.9104002427,2024-07-14,2024-07-14,0.0962051420202315,0.0923385207,2023-08-03,2023-05-06,2024-07-14,2024-07-14,346,435
15,0.5935900130643298,0.61718374595,0.7714302239819667,0.7686351407000002,2023-12-17,2023-11-08,0.1649047593523805,0.1806774422,2023-03-16,2023-04-11,2024-04-10,2024-04-10,391,365
16,0.35714674943614066,0.3561472762,0.6399232598977143,0.6095541342,2024-02-20,2024-04-15,0.1607262887493437,0.0972109532,2023-06-23,2023-09-08,2024-04-15,2024-04-15,297,220
2,0.5657990037048238,0.5829627439,0.7449576659093501,0.7270021028000001,2023-10-18,2023-11-08,0.1524857864616377,0.1532339059,2023-03-23,2023-04-26,2024-03-06,2024-03-06,349,315
3,0.5468757966580762,0.5597105455166665,0.7617868246689462,0.7178747974999998,2023-10-28,2023-09-27,0.195384844079869,0.1937656856,2023-03-04,2023-03-07,2024-03-31,2024-03-31,393,390
4,0.5261612483164048,0.5502408097999999,0.7476648026992063,0.6893198535999999,2023-10-18,2023-10-26,0.1926930749925251,0.1537141478,2023-02-27,2023-03-02,2024-04-10,2024-04-10,408,405
5,0.578178487219103,0.6351411468,0.8216599381804224,0.8085243430000001,2023-10-03,2023-11-18,0.2138154694519924,0.1584997498,2023-05-08,2023-05-11,2024-04-10,2024-04-10,338,335
6,0.41418700688956817,0.46330654385,0.7571630718023851,0.8184831666000001,2024-07-14,2024-07-14,0.0843411443750963,0.0846129801,2023-07-09,2023-07-15,2024-07-14,2024-07-14,371,365
7,0.617933211737733,0.6361438741500001,0.7955742016082497,0.7913550018,2023-12-17,2023-11-06,0.1911460991620645,0.1862814909,2023-03-05,2023-03-12,2024-04-10,2024-04-10,402,395
8,0.6028409392932641,0.6460075722499999,0.8285134358786991,0.8351579487999999,2023-10-03,2023-11-23,0.1978414725981487,0.123149572,2023-05-22,2023-05-26,2024-04-10,2024-04-10,324,320
9,0.5117093857132812,0.5464315844333333,0.746166528685083,0.7057903226000002,2024-04-10,2024-03-10,0.1606737697842117,0.0727278596,2023-09-06,2023-08-29,2024-06-14,2024-06-14,282,290
