indice,parcela_id,a,b,c,r2,mse,rmse
cire_mean,1,2.7538e-06,0.0036722284,-0.0972976284,0.7569772577,8.7055538123,2.95051754990544
cire_mean,10,-4.59253e-05,0.0203593853,0.0520213622,0.9626101415,7.1154217518,2.6674747893466586
cire_mean,11,-6.23164e-05,0.0266819275,-0.1786812236,0.9105167035,11.1242906834,3.3353096832827984
cire_mean,13,-3.25084e-05,0.0142911057,0.1464357915,0.8900456772,4.2477890085,2.061016498842258
cire_mean,14,1.29739e-05,0.0008519273,-0.0649555275,0.7892366036,23.0985992905,4.8061002164436815
cire_mean,15,-3.94214e-05,0.0178877911,0.0335257134,0.8947723623,5.3259993342,2.3078126731171227
cire_mean,16,2.131e-06,0.0030119025,0.0263772424,0.778719534,2.4039946033,1.5504820551364018
cire_mean,2,-3.71114e-05,0.0162506104,0.0356322197,0.9147705142,3.9674095521,1.9918357241750635
cire_mean,3,-4.89541e-05,0.019904547,-0.0064160963,0.8407724258,7.213038585,2.685710070912346
cire_mean,4,-3.45158e-05,0.0160510156,-0.0242639936,0.7493740629,4.9639369843,2.2279894488753755
cire_mean,5,-8.6723e-05,0.0328134045,-0.3886894227,0.8020885967,9.6540106424,3.1070903820777405
cire_mean,6,3.6242e-06,0.0050226677,-0.0759205634,0.8794783521,13.8056442711,3.7155947398902374
cire_mean,7,-4.62306e-05,0.0214058871,-0.078491499,0.9026153223,8.5144987196,2.917961397894085
cire_mean,8,-0.0001081653,0.0391329253,-0.5197672045,0.845439506,16.1193270947,4.014888179601021
cire_mean,9,-6.23219e-05,0.0248285497,-0.3694259961,0.8759782142,4.9329921849,2.221034035061147
gndvi_mean,1,7.89e-08,0.0008657009,0.201531837,0.7376961866,0.290900542,0.5393519648615364
gndvi_mean,10,-7.0717e-06,0.0032936223,0.2760821444,0.9438835654,0.2024213174,0.44991256639484967
gndvi_mean,11,-7.8352e-06,0.0035918991,0.2610410046,0.9581193382,0.2181179682,0.4670310141735771
gndvi_mean,13,-6.1924e-06,0.0029387609,0.2486377457,0.8895085924,0.1829152333,0.4276859049583
gndvi_mean,14,1.5726e-06,0.0004020548,0.1969917752,0.8135869932,0.5965558004,0.7723702482618036
gndvi_mean,15,-5.9733e-06,0.0029422982,0.2715396672,0.9121035901,0.1712744387,0.41385316079498535
gndvi_mean,16,-2.552e-07,0.0009298632,0.2179444678,0.6850547443,0.1125660229,0.3355086033174112
gndvi_mean,2,-6.0871e-06,0.0028873806,0.2669432326,0.9036946952,0.1529884926,0.39113743441404325
gndvi_mean,3,-7.5005e-06,0.0032829035,0.2582844208,0.9220661083,0.1913042562,0.43738342012472303
gndvi_mean,4,-5.2996e-06,0.0026659687,0.2645267479,0.8145094034,0.151001445,0.388589043849669
gndvi_mean,5,-1.02803e-05,0.0042059416,0.2509013989,0.8786976826,0.1786236419,0.4226389024924232
gndvi_mean,6,-4.153e-07,0.001337666,0.1874301772,0.8740425121,0.4322365046,0.657446959533619
gndvi_mean,7,-5.9187e-06,0.0029997268,0.2792552549,0.9636848051,0.1903618964,0.43630482050969827
gndvi_mean,8,-1.34398e-05,0.0053414499,0.1864129797,0.9271304709,0.3379360952,0.5813227117531191
gndvi_mean,9,-8.2032e-06,0.0036416729,0.1941427445,0.9417986716,0.1595107596,0.39938798129137537
msi_mean,1,-2.8322e-06,-0.0029268495,2.157839904,0.8218519457,6.386208182,2.5270948106471987
msi_mean,10,1.7308e-05,-0.0085760548,1.5334281611,0.9440070014,1.5703445553,1.2531338936043506
msi_mean,11,1.89879e-05,-0.0091729446,1.5358285149,0.9709640818,1.5670938442,1.251836189043918
msi_mean,13,1.51271e-05,-0.0074341943,1.5073042921,0.8738636926,1.2342309347,1.1109594658222235
msi_mean,14,-6.5982e-06,-0.0003112067,1.8209617989,0.824463793,5.6039655241,2.367269634853622
msi_mean,15,1.44416e-05,-0.0074239925,1.4676100603,0.9240035261,1.2258489172,1.1071806163404416
msi_mean,16,-1.14363e-05,0.0004759736,1.8712333318,0.8417237882,2.7417899659,1.6558351264241256
msi_mean,2,1.73829e-05,-0.0085513602,1.6039171524,0.9347785674,1.4821204662,1.217423700360725
msi_mean,3,1.89258e-05,-0.008260151,1.4997342452,0.9249721219,1.2088955487,1.0994978620715912
msi_mean,4,1.30099e-05,-0.0068334755,1.5273628206,0.7679615699,1.0881785906,1.0431579892806266
msi_mean,5,2.27333e-05,-0.0096993531,1.5135121634,0.902296978,1.0644304915,1.0317124073597255
msi_mean,6,-7.7675e-06,-0.0003746062,1.7338654801,0.7624613914,4.503320812,2.1221029221034495
msi_mean,7,1.6588e-05,-0.0086766523,1.5913360779,0.9751493667,1.6924220905,1.3009312397279111
msi_mean,8,2.49481e-05,-0.0100783162,1.4787931331,0.8037006221,1.2440178809,1.1153554953018343
msi_mean,9,2.29469e-05,-0.0112499562,1.9234958726,0.9862379834,2.0820252317,1.4429224621233117
ndmi_mean,1,1.4781e-06,0.0011143838,-0.4066915809,0.8546273335,1.1502321419,1.0724887607336497
ndmi_mean,10,-8.9787e-06,0.0044225218,-0.2315877894,0.9751686833,0.4118525871,0.6417574207595889
ndmi_mean,11,-1.05758e-05,0.0050423179,-0.2465579097,0.9738440885,0.4611936827,0.6791124227254277
ndmi_mean,13,-7.6737e-06,0.0037048524,-0.2187692456,0.8946736764,0.2975328428,0.5454657118463084
ndmi_mean,14,3.4622e-06,1.36441e-05,-0.3054713637,0.8517910456,1.3180448806,1.1480613575066447
ndmi_mean,15,-7.8183e-06,0.0040047811,-0.2207314777,0.9442412097,0.353111442,0.5942318083037965
ndmi_mean,16,5.2633e-06,-0.0004881284,-0.2897361028,0.9033905816,0.4331894622,0.6581713015621389
ndmi_mean,2,-8.4474e-06,0.0041866488,-0.2634523293,0.9487617786,0.3625859136,0.60215107207411
ndmi_mean,3,-1.00246e-05,0.0043194155,-0.2288470817,0.9104131613,0.328714325,0.5733361361365599
ndmi_mean,4,-6.7184e-06,0.0034683283,-0.2343296511,0.7702073449,0.2695225189,0.5191555825569056
ndmi_mean,5,-1.30061e-05,0.0054509143,-0.2545451036,0.878937568,0.3194025066,0.5651570636557594
ndmi_mean,6,3.4935e-06,0.0002609861,-0.2787116013,0.8393462225,1.011286061,1.0056271978223341
ndmi_mean,7,-8.8091e-06,0.004572773,-0.2668740132,0.9633011553,0.4630015442,0.6804421681524448
ndmi_mean,8,-1.49601e-05,0.0059482895,-0.2489954543,0.8127227036,0.4194461882,0.6476466538167244
ndmi_mean,9,-1.06846e-05,0.0053243401,-0.3830662613,0.9795137585,0.4882956512,0.6987815475525953
ndre1_mean,1,4.04e-07,0.0008843971,-0.0267369746,0.8147907672,0.4088444604,0.6394094622384001
ndre1_mean,10,-8.1482e-06,0.0037169968,0.0560064857,0.9556197976,0.2480601991,0.4980564216030148
ndre1_mean,11,-9.6687e-06,0.0042993,0.0287352256,0.9798845622,0.2992238971,0.5470136169237472
ndre1_mean,13,-6.7094e-06,0.0030072807,0.0685892874,0.8990212467,0.1862088597,0.43151924603660496
ndre1_mean,14,1.9613e-06,0.0002897567,-0.0094741639,0.8237764258,0.6863686075,0.8284736613194169
ndre1_mean,15,-7.4232e-06,0.0034774905,0.0475605475,0.903419337,0.2127352385,0.4612323042676001
ndre1_mean,16,1.326e-07,0.000937274,-0.0076638453,0.7902467183,0.1591730481,0.39896497101876
ndre1_mean,2,-7.6744e-06,0.0034707001,0.0316093177,0.9150088585,0.1952028409,0.44181765571330445
ndre1_mean,3,-9.1026e-06,0.0036908383,0.0584966356,0.9107938655,0.2490136432,0.4990126683762648
ndre1_mean,4,-6.6678e-06,0.0031908194,0.0295261264,0.8399027071,0.2005478172,0.4478256549149457
ndre1_mean,5,-1.29073e-05,0.0050430787,0.012563921,0.9119206559,0.2348758603,0.48463992850362625
ndre1_mean,6,5.17e-08,0.0012108147,-0.0114530547,0.8749456021,0.4861224084,0.6972247904370584
ndre1_mean,7,-7.6488e-06,0.0036743731,0.0406342901,0.9751958031,0.261784137,0.5116484505986507
ndre1_mean,8,-1.5761e-05,0.0058785134,-0.0121657258,0.9369493334,0.3714807074,0.6094921717298755
ndre1_mean,9,-1.12967e-05,0.0045934968,-0.0355185777,0.9502341397,0.1831834342,0.4279993390181812
ndvi_mean,1,5.355e-07,0.0011993946,0.0854740174,0.8123485816,0.746058456,0.8637467545525135
ndvi_mean,10,-1.09135e-05,0.0051215225,0.1932328434,0.9535978883,0.4968831815,0.7048994123277448
ndvi_mean,11,-1.18953e-05,0.0055209129,0.1677352185,0.9772701907,0.5260452472,0.725289767748036
ndvi_mean,13,-9.5082e-06,0.0044119375,0.2002262649,0.9045283276,0.403787116,0.6354424568755223
ndvi_mean,14,2.626e-06,0.0004078632,0.0919280315,0.8386820923,1.2586633577,1.1219016702456592
ndvi_mean,15,-9.7071e-06,0.0047415159,0.1890930937,0.9239308833,0.4353082179,0.6597789159256303
ndvi_mean,16,-1.215e-07,0.0014299093,0.0957811654,0.7679885439,0.3114158008,0.5580464145570688
ndvi_mean,2,-1.01581e-05,0.0048496968,0.1552553837,0.9362268802,0.4392178331,0.6627351153364367
ndvi_mean,3,-1.17397e-05,0.0049307081,0.2051786666,0.9332244211,0.4293504217,0.6552483664229923
ndvi_mean,4,-8.6197e-06,0.0042996951,0.1619665926,0.8760468737,0.3867192615,0.6218675594529754
ndvi_mean,5,-1.54498e-05,0.0062600916,0.1641807187,0.9231296347,0.3869138342,0.6220239820135555
ndvi_mean,6,-3.737e-07,0.0018503648,0.082762989,0.8973354852,0.9162409902,0.9572047796579372
ndvi_mean,7,-9.7294e-06,0.004869172,0.1811623363,0.9802596857,0.4903152893,0.7002251704273419
ndvi_mean,8,-1.91948e-05,0.0074746508,0.1114561755,0.9524439141,0.6373314459,0.7983304114838667
ndvi_mean,9,-1.34749e-05,0.0057089463,0.0941123385,0.9687634508,0.3313783874,0.5756547467015276
