parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento
10,0.7940925934,0.641291275733333,0.659580619,0.561637318333333,2.3084224136,1.70972003953333,0.4799057273,0.370132330966667,0.736183948966667,455.78,1487.0008257624,65
11,0.8083343841,0.6443836641,0.6727001753,0.566477998833333,2.677409407,1.89038162183333,0.5066676148,0.3802186399,0.7061839732,455.78,1493.21687553583,40
13,0.7120264081,0.5717516527,0.5973031634,0.504073454033333,1.7170724855,1.25326719263333,0.4055693098,0.308923025866667,0.830733026233333,465.05,1579.6411032771,40
15,0.7681010677,0.620950845,0.6338648016,0.54216581335,2.0627089725,1.51580481851667,0.4548285853,0.34834587055,0.751700707983333,464.33,1694.8815671232,45
2,0.7340920888,0.5899440244,0.6093461149,0.5240337321,1.8146160419,1.3581563227,0.4240098859,0.3250410334,0.8143804371,453.04,1457.99427453075,50
3,0.7229065976,0.567940208833333,0.6175088068,0.516388280466667,2.0168574378,1.37600669718333,0.4326277671,0.31351309905,0.853134152,464.37,1510.15295836948,65
4,0.6981606528,0.558131626,0.5998050619,0.51282756,1.841794375,1.3160240002,0.4112605592,0.30744849,0.856869471,467.61,1583.28544414554,65
5,0.7983085053,0.631101802,0.6810898194,0.56861326295,2.7152117448,1.82870850255,0.505164185,0.3702328524,0.7417909646,401.49,1300.37559036898,65
7,0.7903678363,0.6354770224,0.659336067,0.56329223175,2.3993584938,1.72805828175,0.4819129541,0.36654936915,0.74044065285,464.79,1586.16090432519,65
8,0.8391308115,0.645368196166667,0.71713199,0.578420607883333,3.0196888815,1.985464341,0.5359702106,0.382595355266667,0.723639191416667,396.2,1263.7642396076,65
9,0.6987930485,0.547793111233333,0.5983076195,0.49584479945,2.1034458323,1.48701960236667,0.4314355624,0.315260302816667,0.916360938883333,257.67,1037.57795622772,65
