File,tipo,var_nums,R2,aic,mse,rmse
score_mlr\zafra23_r\mean\7\comb_1.json,mean,7,1.0,-393.14689921902885,138.83928571428572,11.783008347374015
score_mlr\zafra23_m\mean\7\comb_1.json,mean,7,1.0,-378.9407103689347,138.83928571428572,11.783008347374015
score_mlr\zafra23_m\mean\6\comb_2.json,mean,6,0.9998991655500065,1.485057801525123,161.9628335864854,12.726461942994424
score_mlr\zafra23_r\mean\6\comb_3.json,mean,6,0.9960279068849539,30.873605039077354,161.3357703339691,12.70180185383039
score_mlr\zafra23_r\mean\6\comb_2.json,mean,6,0.995676126584186,31.552472525398297,161.27878925400097,12.6995586243775
score_mlr\zafra23_r\mean\6\comb_5.json,mean,6,0.9953610798413816,32.1151124466634,161.22775824514045,12.697549300756444
score_mlr\zafra23_r\mean\5\comb_8.json,mean,5,0.9951751160120398,30.429553053366252,193.43716317484024,13.908168936809771
score_mlr\zafra23_m\mean\6\comb_5.json,mean,6,0.9929507699722538,35.462606688417026,160.8373382611307,12.682166150194165
score_mlr\zafra23_m\mean\6\comb_6.json,mean,6,0.9910360877969582,37.38491362088429,160.5271996379448,12.669932897925891
score_mlr\zafra23_r\mean\6\comb_6.json,mean,6,0.9893315074023914,38.77761777298076,160.25109312611653,12.659032076984264
score_mlr\zafra23_r\mean\5\comb_15.json,mean,5,0.9890277359387154,37.002224645864615,192.2422661730878,13.865145732125855
score_mlr\zafra23_m\mean\5\comb_12.json,mean,5,0.9882693052935102,37.53693061433058,192.09484621642605,13.859828506025103
score_mlr\zafra23_m\mean\5\comb_8.json,mean,5,0.9874254359162333,38.09266792954478,191.93081910621783,13.853909885163027
score_mlr\zafra23_m\mean\5\comb_15.json,mean,5,0.9869875030175719,38.36654114526479,191.84569589904055,13.850837371763504
score_mlr\zafra23_m\mean\4\comb_18.json,mean,4,0.9868589204105227,36.44520489068039,239.7758783184942,15.484698199141441
score_mlr\zafra23_r\mean\6\comb_7.json,mean,6,0.972174558106932,46.44686575442373,157.47202477669575,12.548785788939732
score_mlr\zafra23_r\mean\5\comb_12.json,mean,5,0.9721167979283343,44.463454978697584,188.95520259731998,13.74609772252911
score_mlr\zafra23_r\mean\5\comb_21.json,mean,5,0.9720704656305277,44.476737196744274,188.94619675693383,13.74577014055356
score_mlr\zafra21_m\max\5\comb_1.json,max,5,0.9683593813794915,54.97218367720771,263.3937517352217,16.22941008586639
score_mlr\zafra21_m\max\4\comb_5.json,max,4,0.9671034730612126,53.36143761191702,328.8151808408123,18.13326172647415
score_mlr\zafra21_m\max\4\comb_1.json,max,4,0.9667058607558388,53.48158055986237,328.6799926569852,18.129533713170485
score_mlr\zafra21_m\max\3\comb_7.json,max,3,0.9660560618014142,51.674869603741946,437.9454146833078,20.927145402163855
score_mlr\zafra23_r\mean\5\comb_17.json,mean,5,0.9657797794883393,46.101793227993994,187.72344463804592,13.701220552857542
score_mlr\zafra23_r\mean\6\comb_1.json,mean,6,0.9643922649678037,48.419762652457536,156.21145541926404,12.49845812167501
score_mlr\zafra23_r\mean\5\comb_16.json,mean,5,0.9643067668044556,46.43894852472873,187.43712779761606,13.69076797691116
score_mlr\zafra21_m\max\4\comb_2.json,max,4,0.9633352415266658,54.44592707297012,327.5339821190664,18.097899936707197
score_mlr\zafra21_m\max\3\comb_8.json,max,3,0.9620401014480453,52.79306974402857,436.12484598978057,20.883602323109407
score_mlr\zafra23_r\mean\5\comb_9.json,mean,5,0.9618572251736554,46.969950338774105,186.96099814312927,13.673368207692254
score_mlr\zafra21_m\max\4\comb_4.json,max,4,0.9602447143968318,55.25519476572609,326.4832028949228,18.06884619711294
score_mlr\zafra21_m\max\3\comb_5.json,max,3,0.9595458853220719,53.42945034063669,434.9941346793393,20.856513003839815
score_mlr\zafra21_m\max\3\comb_1.json,max,3,0.959501694466147,53.44036807730197,434.97410149131997,20.85603273614903
score_mlr\zafra22_r\max\5\comb_1.json,max,5,0.9592308036376634,71.56517919965935,473.22052979458067,21.75363256549537
score_mlr\zafra21_m\max\3\comb_10.json,max,3,0.9579149762926696,53.82468619146835,434.25478925267686,20.838780896508244
score_mlr\zafra21_m\max\2\comb_9.json,max,2,0.9578828030452539,51.83232809181932,651.3603060707726,25.521761421790085
score_mlr\zafra23_r\mean\4\comb_18.json,mean,4,0.9576925345187426,45.79896800410785,232.68935799635074,15.25415871152358
score_mlr\zafra21_m\max\3\comb_4.json,max,3,0.9546160769579772,54.579345974788524,432.75928822094966,20.8028673076802
score_mlr\zafra21_r\max\5\comb_1.json,max,5,0.9545391008458308,58.596292704102936,259.634635430066,16.113182039251775
