parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,msi_mean_pred,lluvia_acum_pred,etc_acum_pred
1,0.6393881816999999,0.51883950795,0.5554458982,0.4942462078,1.4915340447,1.0783779027500002,0.3592144959999999,0.26914129745,0.9868451316000002,886.5899999999999,1547.8438152553904,49,44.82818641084913,35.13946766276189,44.52121949132089,49.20183664101077,46.989393206422875,44.153079404962384,46.82893855063449,39.142553080786016,1.9027392936553764,61.38192418336865,62.95917334377731
10,0.7788958653,0.6038705464499999,0.6510877398999999,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.8127330445500002,865.2900000000001,1437.081307409524,80,69.89219437568491,74.37366826611324,72.44006198385958,82.54225289028417,72.18472685639938,75.45378728221573,70.67568063907802,74.42067022111632,69.51459890531423,60.5702061057501,67.01640392246553
11,0.7746283089000001,0.6004874001,0.6444371538999999,0.5299912001999999,2.3374092941999995,1.6649143521999998,0.4738256397,0.3507093391,0.7917506650000001,870.3800000000001,1523.6000810000646,73,69.12548343303413,72.81264954979602,70.4986871659269,67.9788563762838,69.7292987241631,73.12810418471344,68.80584192424463,73.88081414293421,72.00969734314818,60.76418005011998,63.847221311228324
13,0.7496240885000002,0.5679719509333334,0.6098832911000001,0.4977626512833333,2.067132301300001,1.380441254716667,0.4507040027,0.3158126973,0.8712310373333332,882.55,1652.0768965695274,33,64.63321488489441,57.80968501099326,60.41205734079264,51.049041640962656,62.46336525962694,59.075072942611975,64.3722243388659,59.01900517316261,56.1378634657928,61.227964510430674,59.141115654011884
14,0.7367244844,0.5863894232333333,0.6229067356999999,0.5417445835333333,2.2222354248,1.5866779290166668,0.4485576203999998,0.3342510402666666,0.8307909140833334,883.6600000000001,1654.149153920569,56,62.31566669283461,66.30769721420612,64.21373547700213,74.1529662582104,66.6330467534184,69.26320831585164,63.96065147703841,66.87154102633261,66.39373979330587,61.27026531165869,59.065208868809286
15,0.7611704656999999,0.58399928335,0.6359933822999999,0.5157046078833332,2.2496327103,1.4981472649,0.4631907513999999,0.3298824152333333,0.7867362105500001,874.2099999999999,1823.32544309574,62,66.70764177406537,65.2048619518475,68.03386293049635,60.47403939722486,67.36957579133599,64.8897747654668,66.76658199704228,65.01102759704435,72.42596952862475,60.91013686877157,52.86828152417333
16,0.6905737508,0.5332018958,0.5859290142,0.4889704933999999,1.5695016232,1.0948076883999998,0.3871067494,0.2785640649,0.9291991669000002,855.78,1528.3885717639264,32,54.02420686292304,41.76642196075082,53.41955623555975,46.430478004312164,49.08541785022822,44.964714294458396,52.17733084526658,43.155528616113386,33.559257390281935,60.207791133066884,63.67181889816684
2,0.7180140506,0.5531237885333333,0.6023330378999999,0.4948030428999999,2.0045511337000006,1.3776129893833338,0.4285045934,0.3092067288166666,0.8580426483833332,891.78,1949.070776406464,64,58.954142440641135,50.958589311477084,58.208060364962876,49.49434484873362,60.780977887192215,58.93535603636705,60.115445657602976,56.205650174068325,59.97883547587141,61.57970901073205,48.26223006003025
3,0.6550456666,0.5624548979333333,0.5525093972,0.4918081453333334,1.5712924767,1.2648414586333334,0.3738361457000001,0.3109639298666667,0.8859911409333333,909.9,1751.2724130834013,48,47.64121660471365,55.264059696287376,43.66402448711614,47.921110475506595,49.133561875496945,53.364418542208355,49.63266750966835,56.95400832486848,51.26948639992692,62.270241009156855,55.5075839590731
5,0.7420037236999999,0.5897144841999999,0.6286882971000001,0.53647624315,2.2397447323000006,1.5499279837000004,0.4517456005999999,0.3336534473499999,0.8410201585000002,833.55,1246.9143711789766,78,63.264137002490514,67.84191473390123,65.90143302881066,71.38548122861542,67.1037544593909,67.44775323679661,64.57195270439352,66.61703768987721,64.22628911156784,59.36063184360864,73.98221865287681
6,0.7350553907000001,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.8049999048999998,879.2500000000001,1354.8631538272762,81,62.01579663040275,74.59990525499333,64.74188762845338,70.39603243767297,59.35630512486307,62.659923096674824,59.80349538074604,67.88848015887106,70.57566394853868,61.10220537164471,70.02805482604904
7,0.7887253832000001,0.5445686587,0.6767574776,0.5178565276,2.4323534117000003,1.4969182942,0.4712202434,0.3094343946,0.9477589857,865.94,1319.7800849455289,68,71.65816961503077,47.0111639243496,79.93332383382548,61.604453373437565,72.28170850644653,64.82906335269871,68.30625226056465,56.302608655066194,24.36881967790243,60.594976845207945,71.31314761267434
8,0.6865940364,0.5482602804,0.5782480852,0.5070281613500001,1.6887124969999998,1.1872481675,0.3928709852,0.2893081526,0.8864540224000002,891.9000000000001,1442.6981546335971,73,53.30920973269062,48.7145163575847,51.177413642571906,55.916259499964696,52.29019776133407,49.53129353277545,53.28263395201242,47.731229047891674,51.10708200836348,61.58428207032427,66.81065881289251
9,0.7482215073,0.5839626207,0.6296790798,0.5274512692,2.1233070154,1.4342724827999995,0.4456726151999999,0.3224883691999999,0.8091424438999999,890.03,1443.4963159875747,71,64.38122656811518,65.18794542595154,66.19065274325737,66.64461817084415,63.97352611594131,61.73434700665624,63.40744627843466,61.86204551759687,70.02780574083427,61.51301855834555,66.7814221630995
