parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,ndre_max_pred,ndre_mean_pred,ndmi_mean_pred,msi_mean_pred,lluvia_acum_pred,etc_acum_pred
1,0.6378224222,0.5179130052,0.5544349993,0.4935038748,1.4902545751,1.0782637733,0.3587782727,0.2690238837,0.4242634502,0.33688363115,0.0285787482,0.9865721411,886.59,1545.57778332833,70,56.436494777502446,61.738612449089715,56.81475987445289,61.43156412213624,57.713389438449084,59.113271830806866,56.78009482054412,60.12344043036626,56.654777424139226,59.70125087435257,60.85898616178162,57.050702709474,74.582457421756,68.70546325987345
10,0.7788958653,0.60387054645,0.6510877399,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.5599002465,0.4286215275,0.13953316675,0.81273304455,865.29,1437.08130740952,80,68.74619452382015,67.04970789367368,68.63694564763665,69.93952358999009,69.37984619087068,69.31623835167865,69.54414080276226,68.01180530543618,69.52867856856344,68.88943681714798,66.68891059734744,69.91947323902367,73.73621012221444,66.77136654204429
11,0.7746283089,0.6004874001,0.6444371539,0.5299912002,2.3374092942,1.6649143522,0.4738256397,0.3507093391,0.5478875121,0.418468747,0.15033858875,0.791750665,870.38,1523.60008100006,80,68.37381871176005,66.84067198005224,67.8234719405855,66.26613380038206,68.24443387698946,68.55828126334217,68.54680191269064,67.89126162646271,68.3884956730771,67.87256550461555,67.25666440632273,68.78313635614236,73.93843541586077,68.31368093165901
13,0.7486486013,0.56969316605,0.6083588145,0.498478614766667,2.0654180693,1.38436800221667,0.4485452206,0.315832300183333,0.5113268225,0.377473330183333,0.112173958183333,0.864073597183333,882.55,1656.79697239928,65,66.10689736196046,64.93797544169112,63.41051036156561,62.09071703993288,64.86329037187157,64.04151605904569,65.96119483211828,64.57465402689283,64.91835544179844,63.76659046593747,65.25136425493949,70.25685959092077,74.42194854428428,70.68809602946419
14,0.7377554503,0.593794221083333,0.6303196604,0.548742125733333,2.2294457635,1.62975333121667,0.4474177766,0.339798783866667,0.5284582816,0.417033962266667,0.135535094683333,0.819228336866667,883.66,1670.73313980404,75,65.15638949063667,66.42711765929967,66.09667526857562,68.75063095189148,66.90233105455424,67.99219271457125,65.84588316826422,66.85373001465186,66.54437962498056,67.72886187239521,66.47883822401414,70.15380824547863,74.46604875566884,70.93652709976766
15,0.7694509746,0.590529120516667,0.6399362893,0.51959815565,2.2913330235,1.53171987266667,0.4710462087,0.335894105533333,0.5421011744,0.403192344916667,0.161291595666667,0.781332406483333,874.21,1839.70304452364,75,67.92205805916058,66.22537549109022,67.27294375989626,64.8890556644744,67.67165626817271,66.41386487511872,68.26252986620537,66.48241736207393,67.8392882192731,66.34252799053242,67.83217283132181,68.00367448616021,74.09060101009759,73.94864463964643
16,0.6871565432,0.5308464242,0.5831013226,0.4865866447,1.5496618777,1.0802109733,0.3833980383,0.2759930833,0.4409766138,0.3381186459,0.049027739,0.935926446,855.78,1523.01957845496,40,60.74126117019644,62.53773515240221,60.3211125901952,60.51503131156993,58.45188611390768,59.1446215354326,59.29813219981335,60.78617158743228,58.241099291555585,59.824946158598046,61.93344604094234,64.90496546789754,73.35837858143321,68.30333268709474
2,0.7252521985,0.5544883855,0.6093613653,0.496693731083333,2.0679748231,1.39237085496667,0.4349721411,0.310608170283333,0.505090742,0.375497868283333,0.11708546075,0.852682223266667,891.78,1954.29468400378,75,64.06538843382184,63.99851114873122,63.533138460169724,61.85421999773965,64.89507357189295,64.17036110314788,64.57298009083769,64.07786905128526,64.32646086690667,63.568734269291554,65.50943138920016,70.48141998536,74.78865570741895,75.99139590813051
5,0.7420037237,0.5897144842,0.6286882971,0.53647624315,2.2397447323,1.5499279837,0.4517456006,0.33365344735,0.5257211614,0.40451049615,0.118724219,0.8410201585,833.55,1246.91437117898,80,65.52708271854065,66.17504120782054,65.89713328066685,67.125401824675,67.03035831528788,66.70701344880787,66.2885203070556,66.2693435407373,66.2845871804785,66.47454996961052,65.59553734956219,70.53442509114282,72.47518245613702,63.38138318923616
6,0.7350553907,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.5030182782,0.4061683882,0.1305244982,0.8049999049,879.25,1354.86315382728,80,64.9207893504345,67.0800032739732,65.4112612653251,66.8758287884335,63.44786723761891,65.14662467685793,63.74510953221545,66.55324208149602,64.12975396424889,66.64059934543624,66.21556435663067,69.56808457763017,74.29083980773558,65.3057165322838
