parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,msi_mean_pred,lluvia_acum_pred,etc_acum_pred
1,0.6393881817,0.51883950795,0.5554458982,0.4942462078,1.4915340447,1.07837790275,0.359214496,0.26914129745,0.9868451316,886.59,1547.84381525539,70,53.933044643071334,59.0912185211793,54.193926045822394,59.50788565556433,54.590846108360516,55.49426087715443,53.702337211312745,56.52722642719623,58.64149190990431,70.19580319101723,64.14935448839518
10,0.7788958653,0.60387054645,0.6510877399,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.81273304455,865.29,1437.08130740952,80,67.89286223450065,65.42377647363534,67.57301425745199,69.14155698701663,69.37351977920935,69.46495656006327,69.30857772874148,67.2323566980138,65.8827138445218,69.53924014601489,63.57388467183775
11,0.7746283089,0.6004874001,0.6444371539,0.5299912002,2.3374092942,1.6649143522,0.4738256397,0.3507093391,0.791750665,870.38,1523.60008100006,80,67.4658297774501,65.17182176743691,66.64268109812065,64.9334818857181,67.93286440606232,68.42691579314179,68.08488215622839,67.06853759107442,65.03142791036355,69.69613713658117,64.02339546511271
13,0.7496240885,0.567971950933333,0.6098832911,0.497762651283333,2.0671323013,1.38044125471667,0.4507040027,0.3158126973,0.871231037333333,882.55,1652.07689656953,65,64.96378582694834,62.7502828819856,61.809031199325915,60.04163321643164,63.669776454439244,62.15451378626948,65.18334943770859,62.558727715208676,66.29802549626208,70.07127198435951,64.69090048035243
14,0.7367244844,0.586389423233333,0.6229067357,0.541744583533333,2.2222354248,1.58667792901667,0.4485576204,0.334251040266667,0.830790914083333,883.66,1654.14915392057,75,63.67298867806891,64.12189626851978,63.63084695512468,66.71748316878686,66.11622315327683,66.70186586003032,64.91400006292592,64.94157652003764,66.31845556564606,70.10548724163428,64.70166695342039
15,0.7611704657,0.58399928335,0.6359933823,0.515704607883333,2.2496327103,1.4981472649,0.4631907514,0.329882415233333,0.78673621055,874.21,1823.32544309574,75,66.11917250812922,63.94389421664924,65.46150387414366,62.76497446102349,66.5483614439579,64.74983622985526,66.75031071735262,64.37700447805726,64.77308514296428,69.81419518645718,65.58062726220084
16,0.6905737508,0.5332018958,0.5859290142,0.4889704934,1.5695016232,1.0948076884,0.3871067494,0.2785640649,0.9291991669,855.78,1528.38857176393,40,59.05492172905502,60.16083562806405,58.45812977381624,58.70710506398675,55.82063130374175,55.85652437902944,57.20253427060163,57.74496221815124,63.86636419981912,69.24609861747159,64.04827420752352
2,0.7180140506,0.553123788533333,0.6023330379,0.4948030429,2.0045511337,1.37761298938333,0.4285045934,0.309206728816667,0.858042648383333,891.78,1949.07077640646,75,61.800731636991394,61.6444884503972,60.75284593786061,59.592405534197106,62.682681627271414,62.09215282029501,62.397547013089486,61.70501628714247,66.45604642984206,70.35578263719385,66.23394078227722
3,0.6550456666,0.562454897933333,0.5525093972,0.491808145333333,1.5712924767,1.26484145863333,0.3738361457,0.310963929866667,0.885991140933333,909.9,1751.2724130834,60,55.49980876318434,62.339408706324775,53.783146566734445,59.1378214412542,55.84887849525093,59.60563166222378,55.53720707815155,61.93210526305566,65.94744528405577,70.9143235937874,65.20627365853102
5,0.7420037237,0.5897144842,0.6286882971,0.53647624315,2.2397447323,1.5499279837,0.4517456006,0.33365344735,0.8410201585,833.55,1246.91437117898,80,64.20125504840598,64.3695251536694,64.43961452585154,65.91782185110873,66.39239803980198,65.89155925179213,65.31405949021878,64.86434758629731,66.44343271308168,68.5608687352931,62.58586684851291
6,0.7350553907,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.8049999049,879.25,1354.86315382728,80,63.50597104152201,65.46029203457555,63.883944633702015,65.63192186773793,61.84679380669961,63.75456867217302,62.19339455351862,65.2501662854157,65.61211765037348,69.9695509492183,63.146717874337085
7,0.7887253832,0.5445686587,0.6767574776,0.5178565276,2.4323534117,1.4969182942,0.4712202434,0.3094343946,0.9477589857,865.94,1319.78008494553,80,68.87645162079656,61.007358098750764,71.16388702770828,63.09160615733746,69.43042111279057,64.72273841866235,67.75793114453487,61.734438298691785,62.489656999017974,69.5592761074821,62.964442774158364
8,0.6865940364,0.5482602804,0.5782480852,0.50702816135,1.688712497,1.1872481675,0.3928709852,0.2893081526,0.8864540224,891.9,1442.6981546336,80,58.65669214301102,61.28228603996124,57.383664614931035,61.44800969360666,57.70094836050015,57.894762271303435,57.92588784504635,59.13345664963053,65.93348348510936,70.35948158392627,63.603067164222
9,0.7482215073,0.5839626207,0.6296790798,0.5274512692,2.1233070154,1.4342724828,0.4456726152,0.3224883692,0.8091424439,890.03,1443.49631598757,70,64.82343672785996,63.94116382125586,64.57821253804204,64.54795543478923,64.55582207858227,63.3414488815365,64.55196094861495,63.42144714922194,65.76333642686588,70.30183966401292,63.6072140346467
1,0.648370093,0.488699802,0.5688259895,0.4692344735,1.5047217559,1.0111742287,0.3641819782,0.2524662344,1.0786853842,712.78,1303.35784575207,60,54.83181838896699,56.846609517628686,56.06563217987896,55.71144978535592,54.79885631345779,54.012474150361705,54.32570622847899,54.37225219057574,44.535658011843005,64.83818709468594,62.87912055493529
10,0.7965685909,0.629578321533333,0.6600610961,0.5682260822,2.5858456834,1.78172892095,0.4991195364,0.36583675325,0.739835725166667,658.18,1416.69398940101,75,69.66128114414832,67.3383241307701,68.82827369223735,70.73700897332137,71.85145979288876,71.0025826732142,71.25901160276845,69.02350397783948,61.33139820617174,63.15516633144049,63.46796177082524
11,0.8109556015,0.6410295244,0.6749039001,0.571797406683333,2.7319613357,1.88613820345,0.5113111201,0.376820118783333,0.710449983266667,658.18,1440.54271596961,75,71.10091542434907,68.19113514022874,70.90459489741473,71.27908671211611,74.15614681112174,73.30472301225795,72.788932645821,70.4429210849741,58.230924030455434,63.15516633144049,63.59186852023415
13,0.6673009887,0.5330805696,0.5558404663,0.47366437205,1.3487218845,1.02690625375,0.3558612818,0.2734028801,0.89737732925,650.7,1062.85012345549,50,56.7261359204092,60.15180004286829,54.249121149989804,56.38384721109558,52.33826518032295,54.35935259464611,53.28154258014086,57.0779650235327,65.55162755870286,62.92459865178709,61.629555720025145
14,0.702577271,0.53973553405,0.6028711328,0.49945605375,1.9100636777,1.33957426315,0.4154640141,0.3005286843,0.89796400365,657.65,1310.37229718271,65,60.25605236303134,60.64741845227015,60.82811863237761,60.29866832603434,61.19232785749216,61.253429633900254,60.761085567587074,60.583523534666,65.52827489699769,63.138829316705696,62.91556434044129
15,0.7569035675,0.596896533866667,0.6229690473,0.524896034383333,2.0715378081,1.50738007793333,0.4542182452,0.342416532066667,0.781567304766667,599.52,1143.93737775749,50,65.69220591377314,64.9043974371778,63.639563562607236,64.16010607582655,63.739264658959925,64.95341229912744,65.62435149974091,65.9968303685882,64.48461794855551,61.346997870415265,62.05084689757099
16,0.6113561883,0.497741127866667,0.5461310732,0.467460405533333,1.1949556293,0.9159517664,0.3225853254,0.2508440854,1.05152856096667,610.53,1004.05270881967,30,51.12802699465165,57.519948583312434,52.890899429691345,55.44217076679373,49.912904949414,51.91289577576745,49.105744982650755,54.16261644332382,49.44646328430594,61.68637623311366,61.3240720498503
2,0.7814160199,0.614988901416667,0.6464411501,0.5393527472,2.2300227027,1.61553031696667,0.4731859887,0.355094550283333,0.789692480966667,606.51,1174.83998308477,65,68.1450411655126,66.25179913929284,66.92301490871027,66.3544354431626,66.23905214524994,67.33803770784888,68.0046123939735,67.6352531167601,64.92795346914154,61.56246151757801,62.21140227831032
3,0.6760044499,0.563202465966667,0.5737940207,0.505541435366667,1.6482823351,1.2442699943,0.3879977081,0.3046661365,0.8473571705,654.37,1293.89852976897,50,57.59704659450832,62.39508270464353,56.76059712912594,61.22234522010006,57.06324207914518,59.15204749096047,57.31434061973253,61.11822033728162,66.47664512019458,63.03772477268655,62.82997440485779
4,0.7428678641,0.5756661116,0.6309486826,0.5122323565,2.2829568271,1.52477644485,0.4569679957,0.3322555961,0.87313835125,648.12,1184.09670007223,65,64.28772514127894,63.32329385746812,64.75581396805435,62.2379346506707,67.073983840834,65.33698813714426,65.9694175105738,64.68369858836877,66.2630470094957,62.84507129704033,62.25949581943987
5,0.7790919171,0.598963316,0.6658653721,0.5385354718,2.2929807504,1.5559051939,0.472664607,0.339129566,0.8237343928,712.72,1419.68019795752,75,67.91248013149274,65.05831790981124,69.64021874921593,66.23038432350879,67.23209151470483,66.02335190841119,67.93918423845892,65.57204473694928,66.18087277524583,64.83633762131973,63.48347670384399
6,0.7702665737,0.6019090905,0.6558254893,0.544256733166667,2.2651133684,1.57735116696667,0.4653690237,0.342655402866667,0.816011279166667,657.7,1226.33272649384,75,67.02937333144746,65.27770000916213,68.23576568528438,67.09879279189923,66.79253837637526,66.49621829083104,67.02366196615456,66.02770044196289,65.98222301883243,63.14037054451086,62.47893431762539
