Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.5403321979127116,[1.67581275e-02 9.74057698e-05],2154.5746391769376,[-79.08884991 198.12016446],46.4173958681111
ndvi_mean,0.3725141148406965,[0.13580723 0.00255657],1485.4000329272772,[-55.68963384 214.40088235],38.54088780668236
gndvi_max,0.5541421445589079,[6.99090920e-03 7.10251754e-05],2209.641801428645,[-102.88465694  272.74544449],47.006827178917796
gndvi_mean,0.4664891362042686,[0.02333029 0.00045987],1860.125430614521,[-96.40358931 314.99779005],43.1291714575474
cire_max,0.6130503713002021,[3.03150661e-01 1.64837983e-05],2444.5383555595563,[10.82399739 27.17313764],49.44227296109632
cire_mean,0.5225198504627637,[3.55021194e-01 1.44514811e-04],2083.5479037202704,[11.50305705 38.76124981],45.645896899067175
ndre1_max,0.5700917679793491,[1.57190043e-01 4.87426642e-05],2273.2409248176546,[-27.17447987 214.84004942],47.67851638649901
ndre1_mean,0.42868979749628056,[0.4768057 0.0009446],1709.4005675164185,[-15.65025815 258.88409396],41.34489772047355
ndre_max,0.5980081262594048,[1.03941396e-01 2.43984379e-05],2384.5574034593765,[-30.90692776 191.68800955],48.83193016315632
ndre_mean,0.48210666484890696,[0.24283068 0.00033696],1922.4003260850163,[-26.28970431 240.98502359],43.84518589406386
ndmi_mean,0.4032405664787654,[1.40218378e-08 1.49801276e-03],1607.921758834077,[ 49.51448701 160.37914055],40.098899720990815
msi_mean,0.3618228732374328,[0.82981924 0.45651647 0.34648052],721.3843535171316,[ -41.89825913  327.56112139 -231.11568073],26.858599247115094
lluvia_acum,0.1558879269708644,[0.08461133 0.06898766],621.603108796322,[32.97897064  0.04656709],24.93196961325603
etc_acum,0.19368194767517932,[0.03827013 0.04039523],772.3067663547777,[3.42159737e+01 2.41912116e-02],27.79040781195515
