Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.5674700726186068,[4.57391669e-03 5.19008892e-05],2262.786914566695,[-112.12959895  232.2351971 ],47.56875985945708
ndvi_mean,0.5107427745344156,[0.04769488 0.00018618],2036.5868134559823,[-58.20681052 232.66935843],45.12855873453065
gndvi_max,0.5360183193829897,[0.00614269 0.00010731],2137.3730485396713,[-118.98864099  279.70860177],46.23173205212705
gndvi_mean,0.5519178396243202,[1.11360892e-02 7.47780133e-05],2200.7723855019767,[-87.5509858  311.26412329],46.91239053280036
cire_max,0.5867893275440944,[2.57317072e-01 3.23937179e-05],2339.8224435820766,[12.28895611 21.15134543],48.371711191377926
cire_mean,0.6223750120397358,[4.02887451e-01 1.28313497e-05],2481.7203605084464,[ 8.86939461 44.51453782],49.81686823264231
ndre1_max,0.560425527683548,[9.49370738e-02 6.13296234e-05],2234.6967916381477,[-36.15022064 215.90249914],47.272579701536785
ndre1_mean,0.5571963984340884,[2.80438032e-01 6.61507790e-05],2221.8206387559276,[-19.32913566 292.35155796],47.136192450768945
ndre_max,0.6050330647091129,[4.00497855e-02 2.03516635e-05],2412.5693455275878,[-44.71465995 201.5623215 ],49.11791267478279
ndre_mean,0.5942709915558413,[1.26099070e-01 2.68366237e-05],2369.655578828917,[-28.47019895 264.01964931],48.67910823781509
ndmi_mean,0.509413498650932,[1.99435512e-11 1.91517448e-04],2031.2863258705913,[ 52.42047024 185.84245057],45.069793940849024
msi_mean,0.4068960856994954,[0.41475171 0.78140941 0.95829297],811.2490708633691,[ 163.5400706  -115.42146683   11.26697782],28.482434426561383
