Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.2757580060305851,[0.47101929 0.09717175],411.13011808196325,[-48.66567799 163.70834065],20.276343804590688
ndvi_mean,0.45200548010038244,[0.11595101 0.02343018],673.8990794223885,[-125.47598218  341.37286458],25.959566241029307
gndvi_max,0.2955041693315369,[0.38455833 0.08390979],440.5698524579277,[-63.11706747 218.81097716],20.989755893242965
gndvi_mean,0.41829082697301123,[0.16009701 0.03150627],623.633596577944,[-107.43756659  344.92984452],24.97265697874265
cire_max,0.401285091219893,[0.40809372 0.03639354],598.2795905460223,[18.64686808 25.87928623],24.459754507067775
cire_mean,0.4587568231000694,[0.68054761 0.02204164],683.9647180764671,[ 9.53088952 43.13030027],26.15271913351396
ndre1_max,0.32660550837360947,[0.75845172 0.06625985],486.9391215751996,[-12.73181686 192.69176957],22.066697115227726
ndre1_mean,0.44642659197419676,[0.34637772 0.02463181],665.5814643978933,[-41.58993629 350.58314684],25.798865564165673
msi_mean,0.7414880525667875,[0.05769546 0.04374253 0.03767118],552.7456391861507,[-1912.38502945  4856.88805937 -2962.51651615],23.510543149535078
lluvia_acum,0.030745975088319333,[0.81860705 0.60606914],45.839453768039675,[-56.17158614   0.14419045],6.7704840128339185
etc_acum,0.01596033839900246,[0.03884077 0.71127912],23.795413613058145,[ 8.41296377e+01 -8.28165321e-03],4.878054285579256
