Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.7293989079336305,[0.00927651 0.00165824],991.9825147897374,[-198.66262331  345.43733336],31.49575391683357
ndvi_mean,0.6096311722588852,[0.04358024 0.00768013],829.0983942720839,[-151.51647548  394.16937932],28.79406873423907
gndvi_max,0.8130812634679969,[0.00318192 0.00036211],1105.7905183164758,[-172.22943985  365.42314947],33.253428670085675
gndvi_mean,0.5029986116561695,[0.11536825 0.02163018],684.0781118523906,[-118.10769661  367.69327544],26.1548869592738
cire_max,0.7326503339856463,[0.49941025 0.0015773 ],996.4044542204788,[-12.91760297  30.51259069],31.56587483692601
cire_mean,0.8481612361656903,[1.91477852e-01 1.55109156e-04],1153.4992811853388,[-19.70758355  63.3720071 ],33.96320481322896
ndre1_max,0.7361899377063903,[0.02219009 0.00149267],1001.2183152806907,[-107.83408905  361.70935232],31.642033994051182
ndre1_mean,0.7753511819913532,[0.02385414 0.0007695 ],1054.4776075082405,[-81.38920565 483.81068029],32.47272097481578
ndre_max,0.763433793773083,[0.01652655 0.00095188],1038.269959531393,[-106.03916959  309.61111572],32.222196690036405
ndre_mean,0.7591794469989803,[0.02685318 0.00102441],1032.4840479186132,[-84.46402334 405.14877528],32.132289801982886
ndmi_mean,0.582594907654498,[0.00609638 0.01020744],792.3290744101172,[ 38.41137016 301.26337609],28.148340526754275
msi_mean,0.6389929956470795,[0.11455939 0.08657703 0.07521466],434.5152370400141,[-1368.17935997  3483.37571448 -2097.31000135],20.845029072659365
