Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.7597492034839981,[0.00808243 0.0002204 ],1874.0480352605289,[-90.33656278 207.60474606],43.29027645165284
ndvi_mean,0.627178022595978,[0.03356647 0.00213937],1547.0391224034124,[-95.70439745 272.62155048],39.33241821199673
gndvi_max,0.8255108478987268,[1.04722135e-03 4.30719397e-05],2036.2600914835264,[-125.20382288  301.41408178],45.12493868675642
gndvi_mean,0.711146286630735,[0.00735474 0.0005685 ],1754.160840355813,[-132.51116237  372.35462911],41.88270335539258
cire_max,0.7830582270223655,[4.41853905e-01 1.30718368e-04],1931.5436266551685,[ 7.61666354 26.72810959],43.94933021850468
cire_mean,0.7051256801913763,[8.60808616e-01 6.32400752e-04],1739.3100111387287,[ 2.28926158 41.59017959],41.70503580071271
ndre1_max,0.7572478481458526,[0.09550732 0.00023242],1867.8780254264366,[-31.53176055 215.35645507],43.2189544693811
ndre1_mean,0.6440440195101115,[0.15132314 0.00167985],1588.6419147916085,[-36.8222337  306.69228996],39.857771071543986
ndre_max,0.7773487763577278,[0.06113444 0.00014929],1917.460315015729,[-35.60141943 192.61445894],43.78881495331575
ndre_mean,0.685550512335105,[0.08988901 0.00088185],1691.0245970932592,[-43.03826483 269.44019394],41.122069465109114
ndmi_mean,0.6533352890418127,[0.00013792 0.00146354],1611.5603796364717,[ 38.13151032 206.33716335],40.14424466391754
msi_mean,0.6064344894796269,[0.9921942  0.61896193 0.46096896],747.9358703582066,[   2.15156448  249.74145247 -209.46308075],27.34841623125929
lluvia_acum,0.3797705209867114,[0.12681653 0.03285174],936.7672851005548,[-130.76244369    0.29906055],30.606654261786844
etc_acum,0.5332655567928213,[0.36761356 0.00700076],1315.3883734222927,[-24.76698667   0.07014005],36.268283298528104
