Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.1251201184341736,[0.98072937 0.05092048],653.2481022119673,[ 0.78177808 87.25738506],25.558718712250958
ndvi_mean,0.034196632433062035,[0.41335492 0.31928797],178.53951481584136,[29.73809961 61.78742862],13.361867938871471
gndvi_max,0.13749210041271642,[0.76124593 0.04002035],717.8418210257469,[-11.00156401 122.31609471],26.792570257923124
gndvi_mean,0.08770609643715821,[0.92547047 0.10573376],457.91070026948546,[ -3.95768661 132.49997431],21.39884810613612
cire_max,0.15983396044882436,[0.00211706 0.02585837],834.4879515691036,[39.18792201 12.4310757 ],28.88750511153747
cire_mean,0.10242155995788882,[0.00437014 0.07923517],534.7396606188486,[41.75334434 16.09988939],23.124438601160648
ndre1_max,0.14851400602200715,[0.33581004 0.03227577],775.3868346665113,[ 20.08530592 102.27706552],27.845768703099424
ndre1_mean,0.060267903679962376,[0.14669472 0.183134  ],314.6567809871585,[34.54080254 95.09429993],17.73856761373811
ndre_max,0.16068074631992224,[0.444935   0.02543208],838.9089932864326,[16.38601654 94.914518  ],28.963925722982246
ndre_mean,0.08461989285432103,[0.29891449 0.11237027],441.7977309184471,[ 25.96002105 100.15692869],21.018985011613836
ndmi_mean,0.03961059765586217,[4.79295793e-10 2.83107059e-01],206.80565260004187,[59.35736104 52.54341839],14.380738944854047
msi_mean,0.25792020605565735,[0.02083855 0.00667291 0.00567073],673.2965379049699,[-397.47718508 1109.833676   -657.95429916],25.94795826081447
lluvia_acum,0.3093193002020891,[1.69719871e-05 1.15903827e-03],1614.946088313165,[39.3583075   0.03972992],40.18639182998599
etc_acum,0.08732050854478679,[0.01065344 0.10654009],455.8975583217334,[4.11534447e+01 1.78263552e-02],21.35175773377296
