Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.25740389621600257,[0.15006071 0.00357757],1343.8974387922585,[-57.79439403 159.77713697],36.659206739811744
ndvi_mean,0.09576103762770127,[0.66425461 0.09026062],499.96528838849827,[13.23392203 94.90206072],22.35990358629702
gndvi_max,0.1905593648817544,[0.28906761 0.01408049],994.9042969713528,[-46.57379073 168.34518973],31.54210355970814
gndvi_mean,0.16471606517727477,[0.6064123  0.02349313],859.9772628690944,[-18.41529341 166.05758525],29.32536892980367
cire_max,0.22857444426064366,[0.00685972 0.00652195],1193.3798001156506,[33.15817761 12.39543162],34.545329642596414
cire_mean,0.13648340579116403,[0.0050813  0.04081472],712.5754589451581,[38.91049118 19.50836615],26.69410906820376
ndre1_max,0.2717865268875701,[0.78985591 0.00263463],1418.9886895726845,[ -5.90178689 148.94008361],37.66946627671654
ndre1_mean,0.11102272748509179,[0.20021714 0.06699815],579.6460788213581,[ 27.00258596 126.27026842],24.07584014777798
ndre_max,0.23404803134621865,[0.87709569 0.00582633],1221.9572217221125,[ -3.6644345  123.45691575],34.95650471260124
ndre_mean,0.14365386255794632,[0.41946734 0.03548928],750.0121824194712,[ 17.93051125 127.70852542],27.386350293886757
ndmi_mean,0.07924986170086612,[7.93860704e-12 1.24978580e-01],413.76097149307043,[58.38514975 76.79296522],20.341115296194317
msi_mean,0.36810160765284716,[0.0046097  0.00118993 0.00088739],960.9233096550533,[-498.77504758 1292.39274193 -732.87288896],30.998763034273697
